Acquired on 7/10/2022 at 18:53:59
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-2.81372242E+001	1.53559842E-003	-2.81372242E+001	-3.03901672E+001	-3.20654449E+001	2.99315434E+001	
1.52500659E+003	-2.69584827E+001	2.01442861E-003	-2.69584827E+001	-2.75564671E+001	-3.58649750E+001	2.99315434E+001	
1.52501160E+003	-2.67147217E+001	2.13072705E-003	-2.67147217E+001	-2.71945267E+001	-3.65196228E+001	2.99833965E+001	
1.52501648E+003	-2.72159023E+001	1.89849664E-003	-2.72159023E+001	-2.79270554E+001	-3.54248390E+001	2.99946995E+001	
1.52502136E+003	-2.70422821E+001	1.97593123E-003	-2.70422821E+001	-2.76702194E+001	-3.57511559E+001	2.99874630E+001	
1.52502637E+003	-2.67965870E+001	2.09093932E-003	-2.67965870E+001	-2.73371696E+001	-3.61132851E+001	2.99863338E+001	
1.52503137E+003	-2.69674568E+001	2.01026956E-003	-2.69674568E+001	-2.75949936E+001	-3.56789093E+001	2.99862595E+001	
1.52503625E+003	-2.69801445E+001	2.00440548E-003	-2.69801445E+001	-2.76085358E+001	-3.56860962E+001	2.99874859E+001	
1.52504114E+003	-2.68601341E+001	2.06056656E-003	-2.68601341E+001	-2.74406738E+001	-3.58866844E+001	2.99884510E+001	
1.52504614E+003	-2.69275589E+001	2.02882220E-003	-2.69275589E+001	-2.75423126E+001	-3.57221565E+001	2.99846935E+001	
1.52505115E+003	-2.69616528E+001	2.01295828E-003	-2.69616528E+001	-2.75861187E+001	-3.56928978E+001	2.99850426E+001	
1.52505603E+003	-2.69039745E+001	2.03986955E-003	-2.69039745E+001	-2.75038910E+001	-3.57974281E+001	2.99873505E+001	
1.52506104E+003	-2.69119759E+001	2.03611492E-003	-2.69119759E+001	-2.75152855E+001	-3.57825928E+001	2.99831562E+001	
1.52506592E+003	-2.69242268E+001	2.03037984E-003	-2.69242287E+001	-2.75302715E+001	-3.57765236E+001	2.99825974E+001	
1.52507080E+003	-2.69101353E+001	2.03697826E-003	-2.69101353E+001	-2.75208015E+001	-3.57317009E+001	2.99871159E+001	
