Acquired on 7/10/2022 at 19:19:16
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.12315750E+001	7.53082568E-004	-3.12315750E+001	-3.58706894E+001	-3.30600700E+001	2.98227596E+001	
1.52500659E+003	-2.68071194E+001	2.08587409E-003	-2.68071194E+001	-2.74398384E+001	-3.54853783E+001	2.98227596E+001	
1.52501160E+003	-2.61408119E+001	2.43174937E-003	-2.61408119E+001	-2.66926727E+001	-3.53733711E+001	2.99822102E+001	
1.52501648E+003	-2.74181957E+001	1.81209273E-003	-2.74181957E+001	-2.80744381E+001	-3.59493828E+001	2.99954853E+001	
1.52502136E+003	-2.69924774E+001	1.99872092E-003	-2.69924774E+001	-2.76166325E+001	-3.57257423E+001	2.99885464E+001	
1.52502637E+003	-2.64850922E+001	2.24641897E-003	-2.64850922E+001	-2.70937958E+001	-3.53196678E+001	2.99877052E+001	
1.52503137E+003	-2.69483719E+001	2.01912341E-003	-2.69483719E+001	-2.75603008E+001	-3.57615776E+001	2.99811554E+001	
1.52503625E+003	-2.69600677E+001	2.01369333E-003	-2.69600658E+001	-2.75755978E+001	-3.57495384E+001	2.99867725E+001	
1.52504114E+003	-2.66685028E+001	2.15352373E-003	-2.66685028E+001	-2.73055267E+001	-3.53194199E+001	2.99917469E+001	
1.52504614E+003	-2.68162613E+001	2.08148803E-003	-2.68162613E+001	-2.74296398E+001	-3.56198997E+001	2.99796581E+001	
1.52505115E+003	-2.68990688E+001	2.04217597E-003	-2.68990688E+001	-2.74992847E+001	-3.57904892E+001	2.99826908E+001	
1.52505603E+003	-2.67948494E+001	2.09177635E-003	-2.67948494E+001	-2.74358292E+001	-3.54207764E+001	2.99928818E+001	
1.52506104E+003	-2.67686386E+001	2.10443744E-003	-2.67686386E+001	-2.73900242E+001	-3.55198708E+001	2.99822292E+001	
1.52506592E+003	-2.67604904E+001	2.10838998E-003	-2.67604904E+001	-2.73490677E+001	-3.57312698E+001	2.99800606E+001	
1.52507080E+003	-2.68123169E+001	2.08337931E-003	-2.68123169E+001	-2.74424171E+001	-3.55073013E+001	2.99916496E+001	
1.52507581E+003	-2.68138123E+001	2.08266219E-003	-2.68138123E+001	-2.74497490E+001	-3.54716148E+001	2.99884682E+001	
1.52508081E+003	-2.67300587E+001	2.12321570E-003	-2.67300587E+001	-2.73303452E+001	-3.56210022E+001	2.99846764E+001	
1.52508582E+003	-2.68168259E+001	2.08121701E-003	-2.68168259E+001	-2.74398117E+001	-3.55576668E+001	2.99912872E+001	
1.52509058E+003	-2.68723507E+001	2.05477746E-003	-2.68723507E+001	-2.75112000E+001	-3.55117264E+001	2.99895020E+001	
1.52509558E+003	-2.67204094E+001	2.12793890E-003	-2.67204094E+001	-2.73289909E+001	-3.55557861E+001	2.99849815E+001	
1.52510059E+003	-2.67540245E+001	2.11153110E-003	-2.67540245E+001	-2.73665924E+001	-3.55630150E+001	2.99880791E+001	
1.52510547E+003	-2.68811111E+001	2.05063773E-003	-2.68811111E+001	-2.75118637E+001	-3.55719223E+001	2.99891758E+001	
1.52511047E+003	-2.67566452E+001	2.11025774E-003	-2.67566452E+001	-2.73764591E+001	-3.55180893E+001	2.99885674E+001	
1.52511536E+003	-2.67077999E+001	2.13412591E-003	-2.67077999E+001	-2.73210049E+001	-3.55125771E+001	2.99886150E+001	
1.52512036E+003	-2.68255978E+001	2.07701791E-003	-2.68255978E+001	-2.74402122E+001	-3.56211052E+001	2.99866543E+001	
1.52512524E+003	-2.67813988E+001	2.09826417E-003	-2.67813988E+001	-2.73987103E+001	-3.55592003E+001	2.99871559E+001	
1.52513025E+003	-2.67337017E+001	2.12143594E-003	-2.67337017E+001	-2.73564167E+001	-3.54762764E+001	2.99868374E+001	
