Acquired on 7/10/2022 at 18:35:44
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-2.82900085E+001	1.48251490E-003	-2.82900085E+001	-3.04372215E+001	-3.23785629E+001	2.99339886E+001	
1.52500659E+003	-2.70402069E+001	1.97687559E-003	-2.70402069E+001	-2.78293800E+001	-3.48349380E+001	2.99339886E+001	
1.52501160E+003	-2.67706223E+001	2.10347702E-003	-2.67706223E+001	-2.74397812E+001	-3.52234688E+001	2.99841919E+001	
1.52501648E+003	-2.72820892E+001	1.86978211E-003	-2.72820892E+001	-2.81845760E+001	-3.45489655E+001	2.99932785E+001	
1.52502136E+003	-2.71129627E+001	1.94403273E-003	-2.71129627E+001	-2.79288597E+001	-3.47760162E+001	2.99863739E+001	
1.52502637E+003	-2.68857155E+001	2.04846542E-003	-2.68857155E+001	-2.76054306E+001	-3.50468330E+001	2.99860058E+001	
1.52503137E+003	-2.70803432E+001	1.95869058E-003	-2.70803432E+001	-2.79077702E+001	-3.46880341E+001	2.99841499E+001	
1.52503625E+003	-2.70671310E+001	1.96465710E-003	-2.70671310E+001	-2.78905487E+001	-3.46939888E+001	2.99848671E+001	
1.52504114E+003	-2.69148083E+001	2.03478732E-003	-2.69148083E+001	-2.76683922E+001	-3.48926888E+001	2.99879055E+001	
1.52504614E+003	-2.69937363E+001	1.99814211E-003	-2.69937363E+001	-2.78011112E+001	-3.46982651E+001	2.99838371E+001	
1.52505115E+003	-2.70388966E+001	1.97747187E-003	-2.70388966E+001	-2.78672943E+001	-3.46419754E+001	2.99824409E+001	
1.52505603E+003	-2.69759846E+001	2.00632657E-003	-2.69759846E+001	-2.77582321E+001	-3.48056412E+001	2.99857025E+001	
1.52506104E+003	-2.69811516E+001	2.00394029E-003	-2.69811516E+001	-2.77706623E+001	-3.47742004E+001	2.99829311E+001	
1.52506592E+003	-2.69785805E+001	2.00512679E-003	-2.69785805E+001	-2.77807121E+001	-3.47088661E+001	2.99821663E+001	
1.52507080E+003	-2.69555454E+001	2.01579067E-003	-2.69555454E+001	-2.77493877E+001	-3.47269173E+001	2.99868107E+001	
1.52507581E+003	-2.69649086E+001	2.01144954E-003	-2.69649086E+001	-2.77615929E+001	-3.47221413E+001	2.99860764E+001	
1.52508081E+003	-2.69658852E+001	2.01099738E-003	-2.69658852E+001	-2.77611008E+001	-3.47304153E+001	2.99849968E+001	
1.52508582E+003	-2.69802818E+001	2.00434285E-003	-2.69802818E+001	-2.77849045E+001	-3.46982918E+001	2.99886837E+001	
1.52509058E+003	-2.69898453E+001	1.99993234E-003	-2.69898491E+001	-2.78009720E+001	-3.46760597E+001	2.99885635E+001	
1.52509558E+003	-2.69612732E+001	2.01313384E-003	-2.69612732E+001	-2.77499962E+001	-3.47582664E+001	2.99865303E+001	
1.52510059E+003	-2.69785290E+001	2.00515147E-003	-2.69785290E+001	-2.77747059E+001	-3.47382813E+001	2.99884777E+001	
1.52510547E+003	-2.69962502E+001	1.99698610E-003	-2.69962502E+001	-2.78161430E+001	-3.46400223E+001	2.99895134E+001	
1.52511047E+003	-2.69356689E+001	2.02503777E-003	-2.69356689E+001	-2.77308235E+001	-3.47005081E+001	2.99884415E+001	
1.52511536E+003	-2.69304256E+001	2.02748436E-003	-2.69304256E+001	-2.77176895E+001	-3.47347450E+001	2.99885139E+001	
1.52512036E+003	-2.69828701E+001	2.00314773E-003	-2.69828701E+001	-2.77982674E+001	-3.46483459E+001	2.99887867E+001	
1.52512524E+003	-2.69546852E+001	2.01619021E-003	-2.69546871E+001	-2.77559566E+001	-3.46892128E+001	2.99890156E+001	
1.52513025E+003	-2.69359741E+001	2.02489598E-003	-2.69359741E+001	-2.77199554E+001	-3.47568474E+001	2.99891052E+001	
1.52513513E+003	-2.69835930E+001	2.00281455E-003	-2.69835930E+001	-2.77915974E+001	-3.46850319E+001	2.99889431E+001	
1.52514014E+003	-2.69710827E+001	2.00859201E-003	-2.69710827E+001	-2.77798481E+001	-3.46688118E+001	2.99899578E+001	
1.52514502E+003	-2.69378071E+001	2.02404149E-003	-2.69378071E+001	-2.77287102E+001	-3.47238617E+001	2.99892216E+001	
1.52515002E+003	-2.69691849E+001	2.00946955E-003	-2.69691868E+001	-2.77708836E+001	-3.47016106E+001	2.99863548E+001	
1.52515503E+003	-2.69843082E+001	2.00248440E-003	-2.69843082E+001	-2.77950306E+001	-3.46724815E+001	2.99876823E+001	
1.52515979E+003	-2.69635468E+001	2.01208005E-003	-2.69635468E+001	-2.77703476E+001	-3.46708832E+001	2.99904118E+001	
1.52516479E+003	-2.69583721E+001	2.01447913E-003	-2.69583721E+001	-2.77680988E+001	-3.46514053E+001	2.99883938E+001	
1.52516980E+003	-2.69630318E+001	2.01231893E-003	-2.69630318E+001	-2.77736168E+001	-3.46518784E+001	2.99881554E+001	
1.52517480E+003	-2.69728470E+001	2.00777594E-003	-2.69728470E+001	-2.77847328E+001	-3.46553612E+001	2.99918499E+001	
1.52517969E+003	-2.69645691E+001	2.01160624E-003	-2.69645691E+001	-2.77779026E+001	-3.46400490E+001	2.99914494E+001	
1.52518457E+003	-2.69400482E+001	2.02299724E-003	-2.69400482E+001	-2.77476692E+001	-3.46433601E+001	2.99890423E+001	
1.52518958E+003	-2.69632454E+001	2.01221928E-003	-2.69632454E+001	-2.77760410E+001	-3.46413460E+001	2.99908543E+001	
1.52519446E+003	-2.69878235E+001	2.00086390E-003	-2.69878235E+001	-2.78065510E+001	-3.46372147E+001	2.99935093E+001	
1.52519946E+003	-2.69466953E+001	2.01990339E-003	-2.69466934E+001	-2.77538853E+001	-3.46521149E+001	2.99942760E+001	
1.52520447E+003	-2.69410706E+001	2.02252064E-003	-2.69410706E+001	-2.77510357E+001	-3.46329460E+001	2.99942932E+001	
1.52520935E+003	-2.69882030E+001	2.00068904E-003	-2.69882030E+001	-2.78100872E+001	-3.46224060E+001	2.99929409E+001	
1.52521423E+003	-2.69712658E+001	2.00850703E-003	-2.69712658E+001	-2.77807903E+001	-3.46652908E+001	2.99915733E+001	
1.52521924E+003	-2.69372540E+001	2.02429900E-003	-2.69372540E+001	-2.77432404E+001	-3.46485863E+001	2.99919071E+001	
1.52522424E+003	-2.69608421E+001	2.01333407E-003	-2.69608421E+001	-2.77826405E+001	-3.45954552E+001	2.99920673E+001	
1.52522925E+003	-2.69625282E+001	2.01255269E-003	-2.69625282E+001	-2.77769890E+001	-3.46325264E+001	2.99919586E+001	
1.52523401E+003	-2.69420319E+001	2.02207360E-003	-2.69420319E+001	-2.77460327E+001	-3.46630936E+001	2.99922447E+001	
1.52523901E+003	-2.69618530E+001	2.01286539E-003	-2.69618530E+001	-2.77788181E+001	-3.46197433E+001	2.99914989E+001	
1.52524402E+003	-2.69667587E+001	2.01059342E-003	-2.69667587E+001	-2.77857475E+001	-3.46148834E+001	2.99904175E+001	
1.52524890E+003	-2.69437103E+001	2.02129129E-003	-2.69437103E+001	-2.77544231E+001	-3.46319389E+001	2.99898853E+001	
1.52525391E+003	-2.69579144E+001	2.01469148E-003	-2.69579144E+001	-2.77751713E+001	-3.46143951E+001	2.99891243E+001	
1.52525879E+003	-2.69807434E+001	2.00412935E-003	-2.69807434E+001	-2.78024979E+001	-3.46155663E+001	2.99896832E+001	
1.52526379E+003	-2.69662762E+001	2.01081648E-003	-2.69662762E+001	-2.77842522E+001	-3.46192780E+001	2.99912853E+001	
1.52526868E+003	-2.69454956E+001	2.02046032E-003	-2.69454956E+001	-2.77625103E+001	-3.46031418E+001	2.99906693E+001	
