Acquired on 12/7/2021 at 15:38:57
Calibrated on 12/6/2021 at 10:52:20
Device Descriptor:  [none]
Scan Range (nm):  1545.529  --  1588.289
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030926
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  8192
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.54552905E+003	-4.58949203E+001	2.57340616E-005	-4.58949203E+001	-4.84728966E+001	-4.93853798E+001	3.74870529E+001	
1.54553418E+003	-3.89208298E+001	1.28208529E-004	-3.89208298E+001	-5.60072746E+001	-3.90066185E+001	3.74870529E+001	
1.54553918E+003	-3.81130371E+001	1.54417387E-004	-3.81130371E+001	-5.53695068E+001	-3.81954994E+001	3.72044296E+001	
1.54554419E+003	-3.76281395E+001	1.72657747E-004	-3.76281395E+001	-5.23371887E+001	-3.77775307E+001	3.71422768E+001	
1.54554932E+003	-3.81804428E+001	1.52039240E-004	-3.81804428E+001	-5.33773193E+001	-3.83137169E+001	3.71882324E+001	
1.54555444E+003	-3.87671928E+001	1.32825255E-004	-3.87671928E+001	-5.40585747E+001	-3.88975563E+001	3.71801491E+001	
1.54555957E+003	-3.83808060E+001	1.45184313E-004	-3.83808060E+001	-5.46795959E+001	-3.84838524E+001	3.72036514E+001	
1.54556458E+003	-3.82727470E+001	1.48841995E-004	-3.82727470E+001	-5.43920898E+001	-3.83801956E+001	3.71850090E+001	
1.54556958E+003	-3.78779831E+001	1.63005316E-004	-3.78779831E+001	-5.31493301E+001	-3.80089531E+001	3.71771660E+001	
1.54557471E+003	-3.82424583E+001	1.49883606E-004	-3.82424583E+001	-5.37657471E+001	-3.83659439E+001	3.71825562E+001	
1.54557983E+003	-3.84084625E+001	1.44262594E-004	-3.84084625E+001	-5.38135376E+001	-3.85354080E+001	3.71819572E+001	
