Acquired on 12/7/2021 at 15:33:57
Calibrated on 12/6/2021 at 10:52:20
Device Descriptor:  [none]
Scan Range (nm):  1545.529  --  1588.289
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030926
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  8192
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.54552905E+003	-3.97210808E+001	1.06633037E-004	-3.97210808E+001	-4.86777573E+001	-4.03117065E+001	3.71121559E+001	
1.54553418E+003	-3.75534325E+001	1.75653491E-004	-3.75534325E+001	-5.28905830E+001	-3.76824074E+001	3.71121559E+001	
1.54553918E+003	-3.71388206E+001	1.93249347E-004	-3.71388206E+001	-5.12376060E+001	-3.73112030E+001	3.71827240E+001	
1.54554419E+003	-3.75534477E+001	1.75652822E-004	-3.75534477E+001	-5.39565697E+001	-3.76540222E+001	3.71698036E+001	
1.54554932E+003	-3.76438179E+001	1.72035594E-004	-3.76438179E+001	-5.42084084E+001	-3.77406807E+001	3.71924019E+001	
1.54555444E+003	-3.77702332E+001	1.67100094E-004	-3.77702332E+001	-5.45747070E+001	-3.78618355E+001	3.71919785E+001	
1.54555957E+003	-3.74073029E+001	1.81664378E-004	-3.74073029E+001	-5.29087067E+001	-3.75314217E+001	3.71881752E+001	
1.54556458E+003	-3.74000397E+001	1.81968411E-004	-3.74000397E+001	-5.29549789E+001	-3.75226173E+001	3.71856728E+001	
1.54556958E+003	-3.74253387E+001	1.80911418E-004	-3.74253387E+001	-5.33264122E+001	-3.75384026E+001	3.71784706E+001	
1.54557471E+003	-3.75445137E+001	1.76014495E-004	-3.75445137E+001	-5.37956619E+001	-3.76487160E+001	3.71882935E+001	
1.54557983E+003	-3.76394310E+001	1.72209358E-004	-3.76394310E+001	-5.41512375E+001	-3.77374954E+001	3.71871376E+001	
1.54558496E+003	-3.75107002E+001	1.77390320E-004	-3.75107002E+001	-5.31605301E+001	-3.76305923E+001	3.71907196E+001	
1.54559009E+003	-3.75396461E+001	1.76211950E-004	-3.75396461E+001	-5.33098412E+001	-3.76562157E+001	3.71861458E+001	
1.54559497E+003	-3.74873772E+001	1.78345494E-004	-3.74873772E+001	-5.32543564E+001	-3.76040344E+001	3.71830025E+001	
1.54560010E+003	-3.75685081E+001	1.75044843E-004	-3.75685081E+001	-5.36881561E+001	-3.76759491E+001	3.71867714E+001	
1.54560522E+003	-3.75787582E+001	1.74632180E-004	-3.75787582E+001	-5.37362061E+001	-3.76852570E+001	3.71863632E+001	
1.54561035E+003	-3.75535736E+001	1.75647787E-004	-3.75535736E+001	-5.33790245E+001	-3.76686478E+001	3.71895561E+001	
1.54561548E+003	-3.75540504E+001	1.75628462E-004	-3.75540504E+001	-5.33115692E+001	-3.76709671E+001	3.71842232E+001	
1.54562036E+003	-3.74826584E+001	1.78539485E-004	-3.74826584E+001	-5.31284370E+001	-3.76026611E+001	3.71852951E+001	
1.54562549E+003	-3.75804062E+001	1.74565954E-004	-3.75804062E+001	-5.37961197E+001	-3.76854668E+001	3.71866570E+001	
1.54563062E+003	-3.75912209E+001	1.74131725E-004	-3.75912209E+001	-5.37681770E+001	-3.76972389E+001	3.71861115E+001	
1.54563574E+003	-3.75487823E+001	1.75841720E-004	-3.75487823E+001	-5.36543083E+001	-3.76565781E+001	3.71883736E+001	
1.54564087E+003	-3.74898834E+001	1.78242728E-004	-3.74898834E+001	-5.33973160E+001	-3.76027756E+001	3.71857567E+001	
1.54564587E+003	-3.74636230E+001	1.79323746E-004	-3.74636230E+001	-5.31593285E+001	-3.75822372E+001	3.71851997E+001	
1.54565088E+003	-3.75049934E+001	1.77623588E-004	-3.75049934E+001	-5.35798607E+001	-3.76135674E+001	3.71843109E+001	
1.54565601E+003	-3.75133667E+001	1.77281501E-004	-3.75133667E+001	-5.36145592E+001	-3.76212730E+001	3.71870155E+001	
1.54566113E+003	-3.75411797E+001	1.76149726E-004	-3.75411797E+001	-5.36817551E+001	-3.76481018E+001	3.71882248E+001	
1.54566626E+003	-3.75238457E+001	1.76854199E-004	-3.75238457E+001	-5.33643265E+001	-3.76385193E+001	3.71861954E+001	
1.54567126E+003	-3.75237999E+001	1.76856032E-004	-3.75237999E+001	-5.32733498E+001	-3.76409302E+001	3.71841850E+001	
1.54567627E+003	-3.75336418E+001	1.76455651E-004	-3.75336456E+001	-5.34625702E+001	-3.76459732E+001	3.71833038E+001	
1.54568140E+003	-3.75743637E+001	1.74808898E-004	-3.75743637E+001	-5.35443420E+001	-3.76856270E+001	3.71855011E+001	
1.54568652E+003	-3.75818405E+001	1.74508241E-004	-3.75818405E+001	-5.36576614E+001	-3.76903877E+001	3.71865883E+001	
1.54569165E+003	-3.75525208E+001	1.75690395E-004	-3.75525208E+001	-5.34178619E+001	-3.76665268E+001	3.71878319E+001	
1.54569666E+003	-3.75295029E+001	1.76624002E-004	-3.75295029E+001	-5.33515129E+001	-3.76446686E+001	3.71853714E+001	
1.54570178E+003	-3.74921303E+001	1.78150469E-004	-3.74921303E+001	-5.33793297E+001	-3.76055603E+001	3.71855392E+001	
1.54570679E+003	-3.75694695E+001	1.75006018E-004	-3.75694695E+001	-5.36410332E+001	-3.76781235E+001	3.71855087E+001	
1.54571191E+003	-3.75624123E+001	1.75290726E-004	-3.75624123E+001	-5.37381821E+001	-3.76684570E+001	3.71844063E+001	
1.54571704E+003	-3.75114365E+001	1.77360387E-004	-3.75114365E+001	-5.36134338E+001	-3.76193199E+001	3.71876869E+001	
1.54572205E+003	-3.75216599E+001	1.76943213E-004	-3.75216599E+001	-5.35154648E+001	-3.76323013E+001	3.71855888E+001	
1.54572717E+003	-3.75024261E+001	1.77728594E-004	-3.75024261E+001	-5.33993454E+001	-3.76156006E+001	3.71834755E+001	
1.54573218E+003	-3.74902725E+001	1.78226677E-004	-3.74902725E+001	-5.35738564E+001	-3.75986252E+001	3.71841393E+001	
1.54573730E+003	-3.74993744E+001	1.77853552E-004	-3.74993744E+001	-5.35309067E+001	-3.76090469E+001	3.71866074E+001	
1.54574243E+003	-3.75590210E+001	1.75427645E-004	-3.75590210E+001	-5.35329018E+001	-3.76701775E+001	3.71865692E+001	
1.54574744E+003	-3.75204430E+001	1.76992806E-004	-3.75204430E+001	-5.34571915E+001	-3.76325684E+001	3.71851006E+001	
1.54575256E+003	-3.74815216E+001	1.78586153E-004	-3.74815216E+001	-5.34208107E+001	-3.75935822E+001	3.71870575E+001	
1.54575769E+003	-3.75287857E+001	1.76653135E-004	-3.75287857E+001	-5.35824242E+001	-3.76378975E+001	3.71856308E+001	
1.54576270E+003	-3.75504074E+001	1.75775858E-004	-3.75504074E+001	-5.36029625E+001	-3.76595459E+001	3.71849670E+001	
1.54576782E+003	-3.75360146E+001	1.76359434E-004	-3.75360146E+001	-5.36909256E+001	-3.76425781E+001	3.71855659E+001	
1.54577283E+003	-3.74913445E+001	1.78182701E-004	-3.74913445E+001	-5.34830704E+001	-3.76020393E+001	3.71865997E+001	
1.54577795E+003	-3.74994354E+001	1.77851005E-004	-3.74994354E+001	-5.33875961E+001	-3.76128426E+001	3.71861305E+001	
1.54578308E+003	-3.75062218E+001	1.77573296E-004	-3.75062218E+001	-5.34869003E+001	-3.76172066E+001	3.71848679E+001	
1.54578821E+003	-3.75247955E+001	1.76815563E-004	-3.75247955E+001	-5.35983963E+001	-3.76333961E+001	3.71859932E+001	
1.54579309E+003	-3.75410843E+001	1.76153582E-004	-3.75410881E+001	-5.36274376E+001	-3.76493683E+001	3.71864090E+001	
1.54579822E+003	-3.75547066E+001	1.75601977E-004	-3.75547066E+001	-5.35569229E+001	-3.76651306E+001	3.71872406E+001	
1.54580334E+003	-3.75750275E+001	1.74782181E-004	-3.75750275E+001	-5.36130219E+001	-3.76845360E+001	3.71857643E+001	
1.54580847E+003	-3.75533142E+001	1.75658191E-004	-3.75533142E+001	-5.35258904E+001	-3.76645088E+001	3.71861687E+001	
1.54581360E+003	-3.75739975E+001	1.74823697E-004	-3.75739975E+001	-5.36583366E+001	-3.76823273E+001	3.71869698E+001	
1.54581848E+003	-3.75612221E+001	1.75338660E-004	-3.75612221E+001	-5.36577797E+001	-3.76692467E+001	3.71865273E+001	
1.54582361E+003	-3.75320015E+001	1.76522444E-004	-3.75320015E+001	-5.35154343E+001	-3.76429100E+001	3.71870613E+001	
1.54582874E+003	-3.75143204E+001	1.77242473E-004	-3.75143204E+001	-5.34647903E+001	-3.76260910E+001	3.71859055E+001	
1.54583386E+003	-3.75439911E+001	1.76035814E-004	-3.75439911E+001	-5.34543648E+001	-3.76568069E+001	3.71850510E+001	
1.54583899E+003	-3.75587540E+001	1.75438268E-004	-3.75587540E+001	-5.36296616E+001	-3.76674309E+001	3.71836395E+001	
1.54584399E+003	-3.75276222E+001	1.76700429E-004	-3.75276222E+001	-5.34913788E+001	-3.76390457E+001	3.71876564E+001	
1.54584900E+003	-3.76028595E+001	1.73665641E-004	-3.76028595E+001	-5.35277138E+001	-3.77152977E+001	3.71878815E+001	
1.54585413E+003	-3.75420837E+001	1.76113055E-004	-3.75420837E+001	-5.34705505E+001	-3.76544266E+001	3.71850243E+001	
1.54585925E+003	-3.74667320E+001	1.79195340E-004	-3.74667320E+001	-5.33269920E+001	-3.75808754E+001	3.71884422E+001	
1.54586438E+003	-3.75257225E+001	1.76777772E-004	-3.75257225E+001	-5.35921516E+001	-3.76345100E+001	3.71863060E+001	
1.54586938E+003	-3.75417671E+001	1.76126006E-004	-3.75417671E+001	-5.36593399E+001	-3.76492615E+001	3.71850662E+001	
1.54587451E+003	-3.75471649E+001	1.75907233E-004	-3.75471649E+001	-5.36266670E+001	-3.76556168E+001	3.71864166E+001	
1.54587952E+003	-3.75363960E+001	1.76343950E-004	-3.75363960E+001	-5.34659920E+001	-3.76487045E+001	3.71873589E+001	
1.54588464E+003	-3.75609932E+001	1.75348003E-004	-3.75609932E+001	-5.34404602E+001	-3.76746254E+001	3.71868935E+001	
1.54588977E+003	-3.75428848E+001	1.76080619E-004	-3.75428848E+001	-5.35660858E+001	-3.76527710E+001	3.71854134E+001	
