Acquired on 12/7/2021 at 15:38:19
Calibrated on 12/6/2021 at 10:52:20
Device Descriptor:  [none]
Scan Range (nm):  1545.529  --  1588.289
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030926
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  8192
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.54552905E+003	-4.71127472E+001	1.94412951E-005	-4.71127472E+001	-5.07529411E+001	-4.95730515E+001	3.70449944E+001	
1.54553418E+003	-3.83812943E+001	1.45167854E-004	-3.83812943E+001	-5.54571381E+001	-3.84672966E+001	3.70449944E+001	
1.54553918E+003	-3.75051537E+001	1.77616996E-004	-3.75051537E+001	-5.28630791E+001	-3.76335068E+001	3.71898537E+001	
1.54554419E+003	-3.77034302E+001	1.69690407E-004	-3.77034302E+001	-5.25772247E+001	-3.78471680E+001	3.71438789E+001	
1.54554932E+003	-3.80903168E+001	1.55227375E-004	-3.80903168E+001	-5.37536621E+001	-3.82098312E+001	3.71933975E+001	
1.54555444E+003	-3.86362190E+001	1.36891991E-004	-3.86362190E+001	-5.54758835E+001	-3.87270775E+001	3.71885033E+001	
1.54555957E+003	-3.80272675E+001	1.57497372E-004	-3.80272675E+001	-5.41657562E+001	-3.81342392E+001	3.71949730E+001	
1.54556458E+003	-3.79368629E+001	1.60810203E-004	-3.79368629E+001	-5.38910637E+001	-3.80485344E+001	3.71851807E+001	
1.54556958E+003	-3.77714615E+001	1.67052727E-004	-3.77714615E+001	-5.31842270E+001	-3.78981819E+001	3.71729851E+001	
1.54557471E+003	-3.80524750E+001	1.56585884E-004	-3.80524750E+001	-5.40004425E+001	-3.81643066E+001	3.71859360E+001	
1.54557983E+003	-3.82258263E+001	1.50458713E-004	-3.82258263E+001	-5.44524918E+001	-3.83306236E+001	3.71851425E+001	
1.54558496E+003	-3.81131821E+001	1.54412221E-004	-3.81131821E+001	-5.43405304E+001	-3.82179642E+001	3.71950340E+001	
1.54559009E+003	-3.80297623E+001	1.57406816E-004	-3.80297623E+001	-5.39877663E+001	-3.81413345E+001	3.71832809E+001	
1.54559497E+003	-3.78428421E+001	1.64329540E-004	-3.78428421E+001	-5.33839378E+001	-3.79658165E+001	3.71821098E+001	
1.54560010E+003	-3.80867615E+001	1.55354472E-004	-3.80867615E+001	-5.39093742E+001	-3.82019119E+001	3.71820374E+001	
1.54560522E+003	-3.81501274E+001	1.53104280E-004	-3.81501274E+001	-5.41236305E+001	-3.82612953E+001	3.71838379E+001	
1.54561035E+003	-3.82214279E+001	1.50611275E-004	-3.82214279E+001	-5.44801903E+001	-3.83254395E+001	3.71918411E+001	
1.54561548E+003	-3.81257935E+001	1.53964502E-004	-3.81257935E+001	-5.40875168E+001	-3.82372704E+001	3.71838493E+001	
1.54562036E+003	-3.79681854E+001	1.59654635E-004	-3.79681854E+001	-5.37442474E+001	-3.80845947E+001	3.71854172E+001	
1.54562549E+003	-3.80376778E+001	1.57120259E-004	-3.80376778E+001	-5.39092178E+001	-3.81515198E+001	3.71823158E+001	
1.54563062E+003	-3.80709152E+001	1.55922433E-004	-3.80709152E+001	-5.40691299E+001	-3.81814423E+001	3.71863670E+001	
1.54563574E+003	-3.81716232E+001	1.52348366E-004	-3.81716232E+001	-5.44662132E+001	-3.82747726E+001	3.71879272E+001	
1.54564087E+003	-3.80492706E+001	1.56701397E-004	-3.80492706E+001	-5.41279831E+001	-3.81577454E+001	3.71860962E+001	
1.54564587E+003	-3.80134735E+001	1.57998424E-004	-3.80134735E+001	-5.39565086E+001	-3.81254349E+001	3.71859703E+001	
1.54565088E+003	-3.80048141E+001	1.58313676E-004	-3.80048141E+001	-5.38179398E+001	-3.81202240E+001	3.71819115E+001	
1.54565601E+003	-3.80846863E+001	1.55428672E-004	-3.80846863E+001	-5.39940681E+001	-3.81975327E+001	3.71869545E+001	
1.54566113E+003	-3.81762848E+001	1.52184817E-004	-3.81762848E+001	-5.42185745E+001	-3.82856865E+001	3.71844940E+001	
1.54566626E+003	-3.80508575E+001	1.56644091E-004	-3.80508575E+001	-5.40247345E+001	-3.81620178E+001	3.71877632E+001	
1.54567126E+003	-3.80828857E+001	1.55493239E-004	-3.80828857E+001	-5.39373169E+001	-3.81971817E+001	3.71859207E+001	
1.54567627E+003	-3.80383072E+001	1.57097529E-004	-3.80383072E+001	-5.37753830E+001	-3.81557808E+001	3.71824532E+001	
1.54568140E+003	-3.81085167E+001	1.54578229E-004	-3.81085167E+001	-5.41106567E+001	-3.82189445E+001	3.71873856E+001	
