Acquired on 12/7/2021 at 15:37:44
Calibrated on 12/6/2021 at 10:52:20
Device Descriptor:  [none]
Scan Range (nm):  1545.529  --  1588.289
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030926
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  8192
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.54552905E+003	-4.36668777E+001	4.29845531E-005	-4.36668777E+001	-4.74140549E+001	-4.60473785E+001	3.74747391E+001	
1.54553418E+003	-3.86369705E+001	1.36868330E-004	-3.86369705E+001	-5.57177696E+001	-3.87228699E+001	3.74747391E+001	
1.54553918E+003	-3.79492722E+001	1.60351454E-004	-3.79492722E+001	-5.60377197E+001	-3.80172424E+001	3.72081184E+001	
1.54554419E+003	-3.72928925E+001	1.86513731E-004	-3.72928925E+001	-5.24301338E+001	-3.74280357E+001	3.71441803E+001	
1.54554932E+003	-3.77926025E+001	1.66241516E-004	-3.77926025E+001	-5.32985268E+001	-3.79165916E+001	3.71860352E+001	
1.54555444E+003	-3.83286819E+001	1.46937251E-004	-3.83286819E+001	-5.36928787E+001	-3.84568443E+001	3.71787262E+001	
1.54555957E+003	-3.80677643E+001	1.56035589E-004	-3.80677643E+001	-5.45801125E+001	-3.81658134E+001	3.72045021E+001	
1.54556458E+003	-3.79996567E+001	1.58501862E-004	-3.79996567E+001	-5.44780540E+001	-3.80984840E+001	3.71852493E+001	
1.54556958E+003	-3.75850830E+001	1.74377943E-004	-3.75850830E+001	-5.32750854E+001	-3.77038536E+001	3.71778908E+001	
1.54557471E+003	-3.78730392E+001	1.63190911E-004	-3.78730392E+001	-5.35855904E+001	-3.79911880E+001	3.71809692E+001	
1.54557983E+003	-3.79767952E+001	1.59338393E-004	-3.79767952E+001	-5.35256767E+001	-3.80995445E+001	3.71823730E+001	
1.54558496E+003	-3.81181831E+001	1.54234556E-004	-3.81181831E+001	-5.42727470E+001	-3.82247581E+001	3.71964149E+001	
