Acquired on 7/10/2022 at 21:05:40
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.07438278E+001	8.42591573E-004	-3.07438297E+001	-3.33599510E+001	-3.41876869E+001	2.99560261E+001	
1.52500659E+003	-3.51702042E+001	3.04074259E-004	-3.51702042E+001	-3.59197006E+001	-4.31697044E+001	2.99560261E+001	
1.52501160E+003	-3.55369987E+001	2.79447559E-004	-3.55369987E+001	-3.61397476E+001	-4.44113579E+001	2.99811764E+001	
1.52501648E+003	-3.47382050E+001	3.35876364E-004	-3.47382050E+001	-3.54311523E+001	-4.30509262E+001	2.99934444E+001	
1.52502136E+003	-3.50501785E+001	3.12595017E-004	-3.50501785E+001	-3.57606926E+001	-4.32627144E+001	2.99904404E+001	
1.52502637E+003	-3.53158531E+001	2.94045603E-004	-3.53158531E+001	-3.60689011E+001	-4.32965660E+001	2.99895573E+001	
1.52503137E+003	-3.49179764E+001	3.22257169E-004	-3.49179764E+001	-3.55493088E+001	-4.36050606E+001	2.99835396E+001	
1.52503625E+003	-3.49065819E+001	3.23103741E-004	-3.49065819E+001	-3.55619774E+001	-4.34429588E+001	2.99881287E+001	
1.52504114E+003	-3.51321945E+001	3.06747039E-004	-3.51321945E+001	-3.59161835E+001	-4.29530334E+001	2.99926548E+001	
1.52504614E+003	-3.50189438E+001	3.14851553E-004	-3.50189438E+001	-3.56680908E+001	-4.35938721E+001	2.99846344E+001	
1.52505115E+003	-3.49291458E+001	3.21429252E-004	-3.49291458E+001	-3.55307007E+001	-4.38115387E+001	2.99868355E+001	
1.52505603E+003	-3.50197449E+001	3.14793404E-004	-3.50197449E+001	-3.57794685E+001	-4.29653473E+001	2.99938488E+001	
1.52506104E+003	-3.50472832E+001	3.12803633E-004	-3.50472832E+001	-3.57560501E+001	-4.32696571E+001	2.99869995E+001	
1.52506592E+003	-3.50104866E+001	3.15465149E-004	-3.50104866E+001	-3.56200256E+001	-4.38395348E+001	2.99856644E+001	
1.52507080E+003	-3.49694443E+001	3.18460457E-004	-3.49694443E+001	-3.56810455E+001	-4.31758575E+001	2.99933910E+001	
1.52507581E+003	-3.49930954E+001	3.16730875E-004	-3.49930954E+001	-3.57139168E+001	-4.31480865E+001	2.99903259E+001	
1.52508081E+003	-3.50454025E+001	3.12938879E-004	-3.50454025E+001	-3.56787071E+001	-4.37199440E+001	2.99864216E+001	
1.52508582E+003	-3.49633331E+001	3.18909035E-004	-3.49633331E+001	-3.56369934E+001	-4.33892250E+001	2.99902420E+001	
1.52509058E+003	-3.49222717E+001	3.21938453E-004	-3.49222717E+001	-3.56336136E+001	-4.31301575E+001	2.99889088E+001	
1.52509558E+003	-3.50358734E+001	3.13626544E-004	-3.50358734E+001	-3.57184067E+001	-4.34092712E+001	2.99856415E+001	
1.52510059E+003	-3.50166397E+001	3.15018406E-004	-3.50166397E+001	-3.57003822E+001	-4.33829575E+001	2.99887466E+001	
1.52510547E+003	-3.49154892E+001	3.22441687E-004	-3.49154892E+001	-3.55969467E+001	-4.32952080E+001	2.99920311E+001	
1.52511047E+003	-3.49616089E+001	3.19035753E-004	-3.49616089E+001	-3.56444893E+001	-4.33329582E+001	2.99920025E+001	
1.52511536E+003	-3.49799881E+001	3.17688420E-004	-3.49799881E+001	-3.56710815E+001	-4.33034172E+001	2.99905739E+001	
1.52512036E+003	-3.49171982E+001	3.22314765E-004	-3.49171982E+001	-3.55828743E+001	-4.33909988E+001	2.99902382E+001	
1.52512524E+003	-3.49478073E+001	3.20051273E-004	-3.49478073E+001	-3.56312027E+001	-4.33161469E+001	2.99918118E+001	
1.52513025E+003	-3.50007782E+001	3.16171179E-004	-3.50007782E+001	-3.57081947E+001	-4.32307816E+001	2.99899197E+001	
1.52513513E+003	-3.49866714E+001	3.17199854E-004	-3.49866714E+001	-3.56441345E+001	-4.35103683E+001	2.99870949E+001	
1.52514014E+003	-3.49581261E+001	3.19291576E-004	-3.49581261E+001	-3.56249390E+001	-4.34250679E+001	2.99897118E+001	
1.52514502E+003	-3.49420891E+001	3.20472755E-004	-3.49420891E+001	-3.56598244E+001	-4.31142120E+001	2.99898605E+001	
1.52515002E+003	-3.49681358E+001	3.18556413E-004	-3.49681358E+001	-3.56400146E+001	-4.34046860E+001	2.99865742E+001	
1.52515503E+003	-3.49824867E+001	3.17505561E-004	-3.49824867E+001	-3.56405754E+001	-4.35023727E+001	2.99892273E+001	
1.52515979E+003	-3.49426117E+001	3.20434367E-004	-3.49426117E+001	-3.56641083E+001	-4.30938492E+001	2.99908714E+001	
1.52516479E+003	-3.49696655E+001	3.18444247E-004	-3.49696655E+001	-3.56722565E+001	-4.32270393E+001	2.99864159E+001	
1.52516980E+003	-3.50098114E+001	3.15514219E-004	-3.50098114E+001	-3.56681175E+001	-4.35283661E+001	2.99864540E+001	
1.52517480E+003	-3.49445000E+001	3.20294930E-004	-3.49445000E+001	-3.56320343E+001	-4.32886200E+001	2.99893684E+001	
1.52517969E+003	-3.49479637E+001	3.20039690E-004	-3.49479637E+001	-3.56495972E+001	-4.32107964E+001	2.99877224E+001	
1.52518457E+003	-3.50328865E+001	3.13842320E-004	-3.50328865E+001	-3.57166100E+001	-4.33992844E+001	2.99867973E+001	
1.52518958E+003	-3.49815826E+001	3.17571714E-004	-3.49815826E+001	-3.56660042E+001	-4.33439102E+001	2.99876251E+001	
1.52519446E+003	-3.49153519E+001	3.22451757E-004	-3.49153519E+001	-3.56044235E+001	-4.32505264E+001	2.99866676E+001	
1.52519946E+003	-3.49681778E+001	3.18553590E-004	-3.49681778E+001	-3.56624260E+001	-4.32733574E+001	2.99865780E+001	
1.52520447E+003	-3.49728012E+001	3.18214414E-004	-3.49728012E+001	-3.56647148E+001	-4.32915077E+001	2.99877052E+001	
1.52520935E+003	-3.49331970E+001	3.21129744E-004	-3.49331970E+001	-3.56165466E+001	-4.33017807E+001	2.99890194E+001	
1.52521423E+003	-3.49529114E+001	3.19675077E-004	-3.49529114E+001	-3.56543007E+001	-4.32171593E+001	2.99899330E+001	
1.52521924E+003	-3.49582329E+001	3.19283863E-004	-3.49582329E+001	-3.56619225E+001	-4.32093353E+001	2.99872913E+001	
1.52522424E+003	-3.49480629E+001	3.20032297E-004	-3.49480629E+001	-3.56246986E+001	-4.33562813E+001	2.99861431E+001	
1.52522925E+003	-3.49473915E+001	3.20081803E-004	-3.49473915E+001	-3.56388817E+001	-4.32685280E+001	2.99906292E+001	
1.52523401E+003	-3.49163170E+001	3.22380103E-004	-3.49163170E+001	-3.56195221E+001	-4.31702042E+001	2.99908619E+001	
1.52523901E+003	-3.49201508E+001	3.22095817E-004	-3.49201508E+001	-3.55897751E+001	-4.33701859E+001	2.99868889E+001	
1.52524402E+003	-3.49455147E+001	3.20220133E-004	-3.49455147E+001	-3.56219177E+001	-4.33551025E+001	2.99884262E+001	
1.52524890E+003	-3.49237785E+001	3.21826636E-004	-3.49237785E+001	-3.56276779E+001	-4.31737099E+001	2.99896889E+001	
1.52525391E+003	-3.49513283E+001	3.19791812E-004	-3.49513283E+001	-3.56350479E+001	-4.33177528E+001	2.99872589E+001	
1.52525879E+003	-3.49850693E+001	3.17316910E-004	-3.49850693E+001	-3.56635323E+001	-4.33824539E+001	2.99891281E+001	
1.52526379E+003	-3.49098358E+001	3.22861597E-004	-3.49098358E+001	-3.56090088E+001	-4.31867409E+001	2.99911861E+001	
1.52526868E+003	-3.48984680E+001	3.23707849E-004	-3.48984680E+001	-3.55912590E+001	-4.32120857E+001	2.99896107E+001	
