Acquired on 7/10/2022 at 22:18:24
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.09148369E+001	8.10058555E-004	-3.09148369E+001	-3.40319748E+001	-3.38208618E+001	2.98850422E+001	
1.52500659E+003	-3.52381706E+001	2.99352600E-004	-3.52381706E+001	-3.59918823E+001	-4.32153625E+001	2.98850422E+001	
1.52501160E+003	-3.54996452E+001	2.81861227E-004	-3.54996452E+001	-3.59698830E+001	-4.53873367E+001	2.99711418E+001	
1.52501648E+003	-3.47325134E+001	3.36316938E-004	-3.47325134E+001	-3.55640564E+001	-4.23206520E+001	3.00149136E+001	
1.52502136E+003	-3.50622101E+001	3.11730197E-004	-3.50622101E+001	-3.58210869E+001	-4.30122566E+001	2.99846439E+001	
1.52502637E+003	-3.53866501E+001	2.89290998E-004	-3.53866501E+001	-3.60948219E+001	-4.36123810E+001	2.99835472E+001	
1.52503137E+003	-3.48753548E+001	3.25435161E-004	-3.48753548E+001	-3.55789528E+001	-4.31270027E+001	2.99919453E+001	
1.52503625E+003	-3.48879776E+001	3.24490684E-004	-3.48879776E+001	-3.55956726E+001	-4.31164017E+001	2.99887543E+001	
1.52504114E+003	-3.52413712E+001	2.99132080E-004	-3.52413712E+001	-3.60259399E+001	-4.30592880E+001	2.99896374E+001	
1.52504614E+003	-3.50160446E+001	3.15061654E-004	-3.50160446E+001	-3.57325325E+001	-4.31951103E+001	2.99870949E+001	
1.52505115E+003	-3.48998718E+001	3.23603046E-004	-3.48998718E+001	-3.55729904E+001	-4.33290291E+001	2.99877644E+001	
1.52505603E+003	-3.51265450E+001	3.07146343E-004	-3.51265488E+001	-3.59116058E+001	-4.29419861E+001	2.99930515E+001	
1.52506104E+003	-3.50777473E+001	3.10617062E-004	-3.50777473E+001	-3.58174706E+001	-4.31295166E+001	2.99868279E+001	
1.52506592E+003	-3.49629097E+001	3.18940089E-004	-3.49629097E+001	-3.56123962E+001	-4.35357475E+001	2.99854088E+001	
1.52507080E+003	-3.50315361E+001	3.13939876E-004	-3.50315361E+001	-3.57844810E+001	-4.30127792E+001	2.99947586E+001	
1.52507581E+003	-3.50413437E+001	3.13231867E-004	-3.50413437E+001	-3.58076859E+001	-4.29524765E+001	2.99903889E+001	
1.52508081E+003	-3.50260773E+001	3.14334757E-004	-3.50260773E+001	-3.56900215E+001	-4.35103416E+001	2.99845161E+001	
1.52508582E+003	-3.50023422E+001	3.16057412E-004	-3.50023422E+001	-3.57200470E+001	-4.31746254E+001	2.99932289E+001	
1.52509058E+003	-3.49474106E+001	3.20080406E-004	-3.49474106E+001	-3.57099457E+001	-4.28783455E+001	2.99944038E+001	
1.52509558E+003	-3.50051537E+001	3.15852696E-004	-3.50051537E+001	-3.57031326E+001	-4.32888985E+001	2.99897270E+001	
1.52510059E+003	-3.50299416E+001	3.14055244E-004	-3.50299416E+001	-3.57375984E+001	-4.32585754E+001	2.99949741E+001	
1.52510547E+003	-3.49535980E+001	3.19624465E-004	-3.49535980E+001	-3.56931343E+001	-4.30063858E+001	2.99949780E+001	
1.52511047E+003	-3.49897079E+001	3.16978170E-004	-3.49897079E+001	-3.57132607E+001	-4.31296005E+001	2.99859428E+001	
1.52511536E+003	-3.49942818E+001	3.16644320E-004	-3.49942818E+001	-3.57161369E+001	-4.31435623E+001	2.99836407E+001	
1.52512036E+003	-3.49092560E+001	3.22904612E-004	-3.49092560E+001	-3.56273499E+001	-4.30793991E+001	2.99868145E+001	
1.52512524E+003	-3.49660034E+001	3.18713108E-004	-3.49660034E+001	-3.56861191E+001	-4.31248856E+001	2.99879208E+001	
1.52513025E+003	-3.50416260E+001	3.13211203E-004	-3.50416260E+001	-3.57750854E+001	-4.31272850E+001	2.99877796E+001	
1.52513513E+003	-3.49898071E+001	3.16970894E-004	-3.49898071E+001	-3.56977043E+001	-4.32170906E+001	2.99888115E+001	
1.52514014E+003	-3.49884415E+001	3.17070517E-004	-3.49884415E+001	-3.56991806E+001	-4.31996994E+001	2.99920063E+001	
1.52514502E+003	-3.50011024E+001	3.16147547E-004	-3.50011024E+001	-3.57490196E+001	-4.30089989E+001	2.99905262E+001	
1.52515002E+003	-3.49452286E+001	3.20241001E-004	-3.49452286E+001	-3.56611786E+001	-4.31273079E+001	2.99833126E+001	
1.52515503E+003	-3.49549103E+001	3.19528044E-004	-3.49549103E+001	-3.56582260E+001	-4.32081604E+001	2.99831753E+001	
1.52515979E+003	-3.50016365E+001	3.16108519E-004	-3.50016365E+001	-3.57558212E+001	-4.29763374E+001	2.99869289E+001	
1.52516479E+003	-3.49877014E+001	3.17124708E-004	-3.49877014E+001	-3.57227020E+001	-4.30649719E+001	2.99843559E+001	
1.52516980E+003	-3.49753532E+001	3.18027596E-004	-3.49753532E+001	-3.56757202E+001	-4.32454071E+001	2.99847832E+001	
1.52517480E+003	-3.49685555E+001	3.18525679E-004	-3.49685555E+001	-3.57073898E+001	-4.30251236E+001	2.99895077E+001	
1.52517969E+003	-3.49758301E+001	3.17992526E-004	-3.49758301E+001	-3.57182007E+001	-4.30133591E+001	2.99875412E+001	
1.52518457E+003	-3.50188141E+001	3.14860808E-004	-3.50188141E+001	-3.57314072E+001	-4.32196617E+001	2.99868488E+001	
1.52518958E+003	-3.49890938E+001	3.17022903E-004	-3.49890938E+001	-3.57197647E+001	-4.30899429E+001	2.99926624E+001	
1.52519446E+003	-3.49422112E+001	3.20463587E-004	-3.49422112E+001	-3.56776924E+001	-4.30168953E+001	2.99922924E+001	
1.52519946E+003	-3.49846077E+001	3.17350496E-004	-3.49846077E+001	-3.57017365E+001	-4.31601105E+001	2.99869099E+001	
1.52520447E+003	-3.49620438E+001	3.19003622E-004	-3.49620438E+001	-3.56848221E+001	-4.31062088E+001	2.99850998E+001	
1.52520935E+003	-3.49192085E+001	3.22165753E-004	-3.49192085E+001	-3.56535530E+001	-4.30000381E+001	2.99842911E+001	
1.52521423E+003	-3.50102806E+001	3.15480051E-004	-3.50102806E+001	-3.57574310E+001	-4.30222626E+001	2.99834003E+001	
1.52521924E+003	-3.50250053E+001	3.14412231E-004	-3.50250053E+001	-3.57714272E+001	-4.30408821E+001	2.99833641E+001	
1.52522424E+003	-3.49154778E+001	3.22442444E-004	-3.49154778E+001	-3.56368179E+001	-4.30675926E+001	2.99830418E+001	
1.52522925E+003	-3.49447174E+001	3.20279069E-004	-3.49447174E+001	-3.56739731E+001	-4.30532799E+001	2.99849377E+001	
1.52523401E+003	-3.50166779E+001	3.15015699E-004	-3.50166779E+001	-3.57616882E+001	-4.30400658E+001	2.99870071E+001	
1.52523901E+003	-3.49506454E+001	3.19841958E-004	-3.49506454E+001	-3.56624832E+001	-4.31557503E+001	2.99847565E+001	
1.52524402E+003	-3.49214134E+001	3.22002074E-004	-3.49214134E+001	-3.56316452E+001	-4.31355324E+001	2.99837856E+001	
1.52524890E+003	-3.49717827E+001	3.18289007E-004	-3.49717827E+001	-3.57123222E+001	-4.30191612E+001	2.99853954E+001	
1.52525391E+003	-3.49620705E+001	3.19001672E-004	-3.49620705E+001	-3.56775703E+001	-4.31466599E+001	2.99845390E+001	
1.52525879E+003	-3.49409065E+001	3.20560008E-004	-3.49409065E+001	-3.56463127E+001	-4.31822968E+001	2.99856834E+001	
1.52526379E+003	-3.49556389E+001	3.19474551E-004	-3.49556389E+001	-3.56978912E+001	-4.29937973E+001	2.99892521E+001	
1.52526868E+003	-3.49549866E+001	3.19522427E-004	-3.49549866E+001	-3.56826477E+001	-4.30722885E+001	2.99878826E+001	
1.52527368E+003	-3.49517136E+001	3.19763290E-004	-3.49517136E+001	-3.56588707E+001	-4.31831703E+001	2.99870205E+001	
1.52527869E+003	-3.49449959E+001	3.20258288E-004	-3.49449959E+001	-3.56846352E+001	-4.29972115E+001	2.99916401E+001	
1.52528357E+003	-3.49384499E+001	3.20741325E-004	-3.49384499E+001	-3.56772537E+001	-4.29951668E+001	2.99925327E+001	
1.52528845E+003	-3.49632950E+001	3.18911800E-004	-3.49632950E+001	-3.56764069E+001	-4.31612434E+001	2.99892159E+001	
1.52529346E+003	-3.49622841E+001	3.18985956E-004	-3.49622841E+001	-3.56888046E+001	-4.30858421E+001	2.99894123E+001	
1.52529846E+003	-3.49473495E+001	3.20084800E-004	-3.49473495E+001	-3.56839714E+001	-4.30158539E+001	2.99905281E+001	
1.52530334E+003	-3.49887619E+001	3.17047175E-004	-3.49887619E+001	-3.57148705E+001	-4.31145782E+001	2.99889717E+001	
1.52530823E+003	-3.49928131E+001	3.16751597E-004	-3.49928131E+001	-3.57137146E+001	-4.31473465E+001	2.99878368E+001	
1.52531323E+003	-3.49315453E+001	3.21251689E-004	-3.49315453E+001	-3.56494446E+001	-4.31027565E+001	2.99887543E+001	
1.52531824E+003	-3.49387436E+001	3.20719817E-004	-3.49387398E+001	-3.56642265E+001	-4.30679893E+001	2.99901733E+001	
1.52532312E+003	-3.49883041E+001	3.17080354E-004	-3.49883041E+001	-3.57167435E+001	-4.31013641E+001	2.99897461E+001	
1.52532813E+003	-3.49818878E+001	3.17549275E-004	-3.49818878E+001	-3.56959572E+001	-4.31744766E+001	2.99878788E+001	
1.52533301E+003	-3.49727974E+001	3.18214530E-004	-3.49727974E+001	-3.56987724E+001	-4.30993805E+001	2.99883633E+001	
1.52533801E+003	-3.49886627E+001	3.17054539E-004	-3.49886627E+001	-3.57286301E+001	-4.30391006E+001	2.99899349E+001	
1.52534290E+003	-3.49754524E+001	3.18020233E-004	-3.49754524E+001	-3.56914253E+001	-4.31573906E+001	2.99888573E+001	
1.52534790E+003	-3.49490280E+001	3.19961313E-004	-3.49490280E+001	-3.56667557E+001	-4.31211891E+001	2.99876423E+001	
1.52535278E+003	-3.49568138E+001	3.19388055E-004	-3.49568138E+001	-3.57047272E+001	-4.29647369E+001	2.99885941E+001	
1.52535767E+003	-3.49809799E+001	3.17615573E-004	-3.49809799E+001	-3.57208366E+001	-4.30320358E+001	2.99900570E+001	
1.52536267E+003	-3.49617233E+001	3.19027109E-004	-3.49617233E+001	-3.56892624E+001	-4.30797119E+001	2.99916286E+001	
1.52536768E+003	-3.49097824E+001	3.22865613E-004	-3.49097824E+001	-3.56482048E+001	-4.29685516E+001	2.99927864E+001	
1.52537268E+003	-3.49050064E+001	3.23220855E-004	-3.49050064E+001	-3.56370964E+001	-4.29981003E+001	2.99928627E+001	
1.52537744E+003	-3.49285278E+001	3.21475090E-004	-3.49285278E+001	-3.56499176E+001	-4.30803528E+001	2.99920082E+001	
1.52538245E+003	-3.49226570E+001	3.21909902E-004	-3.49226570E+001	-3.56493721E+001	-4.30451546E+001	2.99886951E+001	
1.52538745E+003	-3.49414673E+001	3.20518477E-004	-3.49414673E+001	-3.56760330E+001	-4.30211411E+001	2.99844952E+001	
1.52539246E+003	-3.49786568E+001	3.17785743E-004	-3.49786568E+001	-3.57164688E+001	-4.30407143E+001	2.99841022E+001	
1.52539734E+003	-3.49510651E+001	3.19811050E-004	-3.49510651E+001	-3.56781349E+001	-4.30716171E+001	2.99865932E+001	
1.52540222E+003	-3.49222717E+001	3.21938540E-004	-3.49222717E+001	-3.56439896E+001	-4.30723114E+001	2.99883614E+001	
1.52540723E+003	-3.49557266E+001	3.19468090E-004	-3.49557266E+001	-3.57011070E+001	-4.29771347E+001	2.99897346E+001	
1.52541223E+003	-3.49567337E+001	3.19393817E-004	-3.49567337E+001	-3.57041931E+001	-4.29670868E+001	2.99905415E+001	
1.52541711E+003	-3.49115219E+001	3.22736305E-004	-3.49115219E+001	-3.56316414E+001	-4.30703926E+001	2.99897614E+001	
1.52542212E+003	-3.49021378E+001	3.23434564E-004	-3.49021378E+001	-3.56318169E+001	-4.30083847E+001	2.99877586E+001	
1.52542700E+003	-3.49195862E+001	3.22137639E-004	-3.49195862E+001	-3.56642914E+001	-4.29446182E+001	2.99843178E+001	
1.52543188E+003	-3.49376297E+001	3.20802006E-004	-3.49376297E+001	-3.56631165E+001	-4.30668678E+001	2.99821434E+001	
1.52543689E+003	-3.49563484E+001	3.19422339E-004	-3.49563484E+001	-3.56861649E+001	-4.30618324E+001	2.99842415E+001	
1.52544189E+003	-3.49428253E+001	3.20418476E-004	-3.49428253E+001	-3.56871834E+001	-4.29697037E+001	2.99869328E+001	
1.52544690E+003	-3.49085007E+001	3.22960783E-004	-3.49085007E+001	-3.56281319E+001	-4.30701065E+001	2.99878559E+001	
1.52545166E+003	-3.49121399E+001	3.22690350E-004	-3.49121399E+001	-3.56240196E+001	-4.31169891E+001	2.99903240E+001	
1.52545667E+003	-3.49487419E+001	3.19982151E-004	-3.49487419E+001	-3.56901207E+001	-4.29916000E+001	2.99934673E+001	
1.52546167E+003	-3.49633598E+001	3.18906939E-004	-3.49633598E+001	-3.57115974E+001	-4.29695473E+001	2.99940987E+001	
1.52546667E+003	-3.49267197E+001	3.21608910E-004	-3.49267197E+001	-3.56603012E+001	-4.30116997E+001	2.99936676E+001	
1.52547156E+003	-3.48939285E+001	3.24046181E-004	-3.48939285E+001	-3.56254807E+001	-4.29899902E+001	2.99930553E+001	
1.52547644E+003	-3.49302559E+001	3.21347208E-004	-3.49302559E+001	-3.56706009E+001	-4.29786644E+001	2.99913673E+001	
