Acquired on 7/10/2022 at 21:32:51
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.25780792E+001	5.52321610E-004	-3.25780792E+001	-3.77604904E+001	-3.41471291E+001	2.96945686E+001	
1.52500659E+003	-3.52619667E+001	2.97716702E-004	-3.52619667E+001	-3.59260101E+001	-4.37456474E+001	2.96945686E+001	
1.52501160E+003	-3.46183739E+001	3.45273060E-004	-3.46183739E+001	-3.49942932E+001	-4.54318771E+001	2.99582176E+001	
1.52501648E+003	-3.50860252E+001	3.10025614E-004	-3.50860252E+001	-3.60763588E+001	-4.19918098E+001	3.00453453E+001	
1.52502136E+003	-3.51436577E+001	3.05938476E-004	-3.51436577E+001	-3.58948250E+001	-4.31343117E+001	2.99668922E+001	
1.52502637E+003	-3.51600037E+001	3.04789166E-004	-3.51600037E+001	-3.56743469E+001	-4.46799774E+001	2.99667912E+001	
1.52503137E+003	-3.48691864E+001	3.25897709E-004	-3.48691864E+001	-3.56340752E+001	-4.27878876E+001	3.00145454E+001	
1.52503625E+003	-3.48973885E+001	3.23788205E-004	-3.48973885E+001	-3.56729774E+001	-4.27609444E+001	2.99863205E+001	
1.52504114E+003	-3.52904549E+001	2.95770238E-004	-3.52904549E+001	-3.59217224E+001	-4.39779854E+001	2.99689560E+001	
1.52504614E+003	-3.49825516E+001	3.17500875E-004	-3.49825516E+001	-3.56813965E+001	-4.32613182E+001	2.99957504E+001	
1.52505115E+003	-3.47996674E+001	3.31156538E-004	-3.47996674E+001	-3.55329208E+001	-4.28864288E+001	2.99948139E+001	
1.52505603E+003	-3.52477417E+001	2.98693369E-004	-3.52477417E+001	-3.59520683E+001	-4.34952736E+001	2.99809895E+001	
1.52506104E+003	-3.51005211E+001	3.08992516E-004	-3.51005211E+001	-3.58003922E+001	-4.33734283E+001	2.99819927E+001	
1.52506592E+003	-3.47793427E+001	3.32710100E-004	-3.47793427E+001	-3.54648628E+001	-4.31352196E+001	2.99882641E+001	
1.52507080E+003	-3.50865631E+001	3.09987052E-004	-3.50865631E+001	-3.57907791E+001	-4.33346977E+001	2.99945183E+001	
1.52507581E+003	-3.51169014E+001	3.07829207E-004	-3.51169014E+001	-3.58269958E+001	-4.33317986E+001	2.99885979E+001	
1.52508081E+003	-3.48290672E+001	3.28922353E-004	-3.48290672E+001	-3.54912109E+001	-4.33242493E+001	2.99794559E+001	
1.52508582E+003	-3.49739113E+001	3.18133214E-004	-3.49739113E+001	-3.56834335E+001	-4.31920242E+001	2.99907207E+001	
1.52509058E+003	-3.51035156E+001	3.08779388E-004	-3.51035156E+001	-3.58528938E+001	-4.31036720E+001	2.99937859E+001	
1.52509558E+003	-3.49708862E+001	3.18354665E-004	-3.49708862E+001	-3.56290245E+001	-4.34904823E+001	2.99788055E+001	
1.52510059E+003	-3.49613228E+001	3.19056533E-004	-3.49613228E+001	-3.56351128E+001	-4.33864670E+001	2.99832191E+001	
1.52510547E+003	-3.49881172E+001	3.17094149E-004	-3.49881172E+001	-3.57436409E+001	-4.29557610E+001	2.99910297E+001	
1.52511047E+003	-3.49667397E+001	3.18658887E-004	-3.49667397E+001	-3.56617508E+001	-4.32675514E+001	2.99796391E+001	
1.52511536E+003	-3.49679642E+001	3.18568869E-004	-3.49679642E+001	-3.56336937E+001	-4.34414482E+001	2.99794407E+001	
1.52512036E+003	-3.49316635E+001	3.21242987E-004	-3.49316635E+001	-3.56665802E+001	-4.30094070E+001	2.99913731E+001	
