Acquired on 7/10/2022 at 22:09:34
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.18183060E+001	6.57914381E-004	-3.18183060E+001	-3.37857742E+001	-3.62037315E+001	3.01883850E+001	
1.52500659E+003	-3.49366798E+001	3.20872292E-004	-3.49366798E+001	-3.57057800E+001	-4.28335533E+001	3.01883850E+001	
1.52501160E+003	-3.45924835E+001	3.47337453E-004	-3.45924835E+001	-3.57480240E+001	-4.09074478E+001	3.00134773E+001	
1.52501648E+003	-3.55449142E+001	2.78938678E-004	-3.55449142E+001	-3.60050621E+001	-4.55218124E+001	2.99537487E+001	
1.52502136E+003	-3.51660385E+001	3.04366054E-004	-3.51660385E+001	-3.58348618E+001	-4.36208801E+001	3.00041256E+001	
1.52502637E+003	-3.46528473E+001	3.42543237E-004	-3.46528473E+001	-3.55821266E+001	-4.18055801E+001	2.99998207E+001	
1.52503137E+003	-3.52585945E+001	2.97948107E-004	-3.52585945E+001	-3.59018097E+001	-4.38704910E+001	2.99797840E+001	
1.52503625E+003	-3.52240601E+001	3.00326879E-004	-3.52240601E+001	-3.58730850E+001	-4.37997360E+001	2.99880199E+001	
1.52504114E+003	-3.47387505E+001	3.35834280E-004	-3.47387505E+001	-3.55592308E+001	-4.23796844E+001	2.99897766E+001	
1.52504614E+003	-3.50643463E+001	3.11577081E-004	-3.50643463E+001	-3.57757721E+001	-4.32717438E+001	2.99867992E+001	
1.52505115E+003	-3.52287216E+001	3.00004496E-004	-3.52287216E+001	-3.58956947E+001	-4.36946945E+001	2.99856930E+001	
1.52505603E+003	-3.48891144E+001	3.24405555E-004	-3.48891144E+001	-3.56372871E+001	-4.28956604E+001	2.99827156E+001	
1.52506104E+003	-3.49904594E+001	3.16923077E-004	-3.49904594E+001	-3.57257881E+001	-4.30659828E+001	2.99902954E+001	
1.52506592E+003	-3.51628685E+001	3.04588233E-004	-3.51628685E+001	-3.58809776E+001	-4.33329086E+001	2.99923935E+001	
1.52507080E+003	-3.49730453E+001	3.18196660E-004	-3.49730453E+001	-3.56794014E+001	-4.32090416E+001	2.99804707E+001	
1.52507581E+003	-3.49233131E+001	3.21861240E-004	-3.49233131E+001	-3.56270866E+001	-4.31739731E+001	2.99844666E+001	
1.52508081E+003	-3.50155525E+001	3.15097393E-004	-3.50155525E+001	-3.57621841E+001	-4.30302887E+001	2.99918213E+001	
1.52508582E+003	-3.50031052E+001	3.16001708E-004	-3.50031052E+001	-3.57231140E+001	-4.31626091E+001	2.99828911E+001	
1.52509058E+003	-3.49882202E+001	3.17086698E-004	-3.49882202E+001	-3.56677475E+001	-4.33793221E+001	2.99847927E+001	
1.52509558E+003	-3.49715614E+001	3.18305218E-004	-3.49715614E+001	-3.57081146E+001	-4.30404510E+001	2.99947739E+001	
1.52510059E+003	-3.49961128E+001	3.16510792E-004	-3.49961128E+001	-3.57280769E+001	-4.30899048E+001	2.99887733E+001	
1.52510547E+003	-3.50442200E+001	3.13024066E-004	-3.50442200E+001	-3.57243996E+001	-4.34314919E+001	2.99862766E+001	
1.52511047E+003	-3.49291534E+001	3.21428932E-004	-3.49291534E+001	-3.56702881E+001	-4.29732971E+001	2.99940224E+001	
