Acquired on 7/10/2022 at 21:52:03
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.06960335E+001	8.51915567E-004	-3.06960335E+001	-3.30378418E+001	-3.44967766E+001	3.00148411E+001	
1.52500659E+003	-3.51041031E+001	3.08737712E-004	-3.51041031E+001	-3.58787308E+001	-4.29725838E+001	3.00148411E+001	
1.52501160E+003	-3.54845581E+001	2.82842055E-004	-3.54845581E+001	-3.63036880E+001	-4.31320190E+001	2.99936638E+001	
1.52501648E+003	-3.48846817E+001	3.24736990E-004	-3.48846817E+001	-3.55225563E+001	-4.35302048E+001	2.99755363E+001	
1.52502136E+003	-3.50628052E+001	3.11687530E-004	-3.50628052E+001	-3.57660141E+001	-4.33166656E+001	2.99963856E+001	
1.52502637E+003	-3.51556053E+001	3.05097929E-004	-3.51556053E+001	-3.60048218E+001	-4.26609802E+001	2.99959507E+001	
1.52503137E+003	-3.50076637E+001	3.15670128E-004	-3.50076637E+001	-3.56490021E+001	-4.36313782E+001	2.99784908E+001	
1.52503625E+003	-3.50178757E+001	3.14928737E-004	-3.50178757E+001	-3.56732330E+001	-4.35545044E+001	2.99886227E+001	
1.52504114E+003	-3.50411949E+001	3.13242228E-004	-3.50411949E+001	-3.58786850E+001	-4.26012611E+001	2.99950809E+001	
1.52504614E+003	-3.50520668E+001	3.12459044E-004	-3.50520668E+001	-3.57387466E+001	-4.34012032E+001	2.99833946E+001	
1.52505115E+003	-3.50438499E+001	3.13050870E-004	-3.50438538E+001	-3.56618729E+001	-4.38169937E+001	2.99862576E+001	
1.52505603E+003	-3.49826736E+001	3.17491969E-004	-3.49826736E+001	-3.57644691E+001	-4.28146057E+001	2.99921875E+001	
1.52506104E+003	-3.50581474E+001	3.12022079E-004	-3.50581474E+001	-3.57915802E+001	-4.31439514E+001	2.99847069E+001	
1.52506592E+003	-3.51167145E+001	3.07842507E-004	-3.51167145E+001	-3.57485962E+001	-4.38003120E+001	2.99843578E+001	
1.52507080E+003	-3.49710541E+001	3.18342296E-004	-3.49710541E+001	-3.56907463E+001	-4.31323204E+001	2.99901676E+001	
1.52507581E+003	-3.49646072E+001	3.18815204E-004	-3.49646072E+001	-3.56945915E+001	-4.30692101E+001	2.99877796E+001	
1.52508081E+003	-3.50799866E+001	3.10456991E-004	-3.50799866E+001	-3.57486763E+001	-4.35356369E+001	2.99850445E+001	
1.52508582E+003	-3.49862251E+001	3.17232363E-004	-3.49862251E+001	-3.56950035E+001	-4.32085342E+001	2.99851704E+001	
1.52509058E+003	-3.49478989E+001	3.20044404E-004	-3.49478989E+001	-3.56811562E+001	-4.30346451E+001	2.99850731E+001	
1.52509558E+003	-3.50822067E+001	3.10298230E-004	-3.50822067E+001	-3.57884331E+001	-4.33189354E+001	2.99856720E+001	
1.52510059E+003	-3.50279579E+001	3.14198725E-004	-3.50279579E+001	-3.57352028E+001	-4.32589035E+001	2.99841995E+001	
1.52510547E+003	-3.49089317E+001	3.22928856E-004	-3.49089317E+001	-3.56212044E+001	-4.31115799E+001	2.99840088E+001	
1.52511047E+003	-3.49720993E+001	3.18266044E-004	-3.49720993E+001	-3.56964531E+001	-4.31075745E+001	2.99875431E+001	
1.52511536E+003	-3.50096931E+001	3.15522833E-004	-3.50096931E+001	-3.57295685E+001	-4.31699295E+001	2.99857483E+001	
1.52512036E+003	-3.49657745E+001	3.18729813E-004	-3.49657745E+001	-3.56536331E+001	-4.33080101E+001	2.99826717E+001	
1.52512524E+003	-3.49700165E+001	3.18418606E-004	-3.49700127E+001	-3.56885300E+001	-4.31378136E+001	2.99871674E+001	
1.52513025E+003	-3.49762726E+001	3.17960163E-004	-3.49762726E+001	-3.57130966E+001	-4.30436935E+001	2.99876308E+001	
1.52513513E+003	-3.49819908E+001	3.17541911E-004	-3.49819908E+001	-3.56516800E+001	-4.34316444E+001	2.99824448E+001	
1.52514014E+003	-3.49938622E+001	3.16675170E-004	-3.49938622E+001	-3.56778526E+001	-4.33587036E+001	2.99852161E+001	
1.52514502E+003	-3.49603806E+001	3.19125946E-004	-3.49603806E+001	-3.57122650E+001	-4.29472275E+001	2.99896736E+001	
1.52515002E+003	-3.49556656E+001	3.19472572E-004	-3.49556656E+001	-3.56617432E+001	-4.31932144E+001	2.99874630E+001	
1.52515503E+003	-3.49880219E+001	3.17101134E-004	-3.49880219E+001	-3.56642227E+001	-4.33988190E+001	2.99874134E+001	
1.52515979E+003	-3.49858475E+001	3.17259866E-004	-3.49858475E+001	-3.57144394E+001	-4.30980682E+001	2.99893951E+001	
1.52516479E+003	-3.50082932E+001	3.15624522E-004	-3.50082932E+001	-3.57302208E+001	-4.31571541E+001	2.99876537E+001	
1.52516980E+003	-3.50217476E+001	3.14648321E-004	-3.50217476E+001	-3.57191010E+001	-4.33090553E+001	2.99868584E+001	
1.52517480E+003	-3.49648247E+001	3.18799342E-004	-3.49648247E+001	-3.56910858E+001	-4.30898094E+001	2.99885082E+001	
1.52517969E+003	-3.49739838E+001	3.18127801E-004	-3.49739838E+001	-3.57026367E+001	-4.30858574E+001	2.99897861E+001	
1.52518457E+003	-3.50122643E+001	3.15336074E-004	-3.50122643E+001	-3.57207222E+001	-4.32363701E+001	2.99900932E+001	
1.52518958E+003	-3.49513054E+001	3.19793326E-004	-3.49513054E+001	-3.56571541E+001	-4.31901741E+001	2.99882851E+001	
1.52519446E+003	-3.49547234E+001	3.19541636E-004	-3.49547234E+001	-3.56638260E+001	-4.31752205E+001	2.99882202E+001	
1.52519946E+003	-3.50303764E+001	3.14023695E-004	-3.50303764E+001	-3.57573013E+001	-4.31516991E+001	2.99908504E+001	
1.52520447E+003	-3.49720459E+001	3.18269653E-004	-3.49720459E+001	-3.56964569E+001	-4.31072235E+001	2.99887848E+001	
1.52520935E+003	-3.49108353E+001	3.22787208E-004	-3.49108353E+001	-3.56136551E+001	-4.31669235E+001	2.99865284E+001	
1.52521423E+003	-3.49757500E+001	3.17998492E-004	-3.49757500E+001	-3.57012825E+001	-4.31047401E+001	2.99909973E+001	
1.52521924E+003	-3.49888000E+001	3.17044178E-004	-3.49888000E+001	-3.57180672E+001	-4.30973206E+001	2.99918251E+001	
1.52522424E+003	-3.49514046E+001	3.19786079E-004	-3.49514046E+001	-3.56361771E+001	-4.33116760E+001	2.99875965E+001	
1.52522925E+003	-3.49709282E+001	3.18351696E-004	-3.49709282E+001	-3.56740189E+001	-4.32254601E+001	2.99902744E+001	
1.52523401E+003	-3.49666138E+001	3.18668084E-004	-3.49666138E+001	-3.57007675E+001	-4.30484924E+001	2.99935017E+001	
1.52523901E+003	-3.49503860E+001	3.19860992E-004	-3.49503860E+001	-3.56435242E+001	-4.32620087E+001	2.99891796E+001	
1.52524402E+003	-3.49774551E+001	3.17873550E-004	-3.49774551E+001	-3.56634216E+001	-4.33307495E+001	2.99878883E+001	
1.52524890E+003	-3.49579315E+001	3.19305633E-004	-3.49579315E+001	-3.56778069E+001	-4.31181793E+001	2.99907131E+001	
1.52525391E+003	-3.49178886E+001	3.22263542E-004	-3.49178886E+001	-3.56231155E+001	-4.31602936E+001	2.99884777E+001	
1.52525879E+003	-3.49521713E+001	3.19729676E-004	-3.49521713E+001	-3.56436768E+001	-4.32732162E+001	2.99866352E+001	
1.52526379E+003	-3.49755630E+001	3.18012171E-004	-3.49755630E+001	-3.56831131E+001	-4.32048111E+001	2.99906673E+001	
1.52526868E+003	-3.49343300E+001	3.21045867E-004	-3.49343300E+001	-3.56428185E+001	-4.31582680E+001	2.99920864E+001	
1.52527368E+003	-3.49244080E+001	3.21780186E-004	-3.49244080E+001	-3.56342545E+001	-4.31406860E+001	2.99880371E+001	
1.52527869E+003	-3.49538116E+001	3.19608982E-004	-3.49538116E+001	-3.56663666E+001	-4.31548615E+001	2.99860458E+001	
1.52528357E+003	-3.49619637E+001	3.19009356E-004	-3.49619637E+001	-3.56715050E+001	-4.31800003E+001	2.99875546E+001	
1.52528845E+003	-3.49639244E+001	3.18865437E-004	-3.49639244E+001	-3.56814117E+001	-4.31374359E+001	2.99877186E+001	
1.52529346E+003	-3.49812660E+001	3.17594793E-004	-3.49812660E+001	-3.56901817E+001	-4.32028008E+001	2.99870567E+001	
1.52529846E+003	-3.49822197E+001	3.17525002E-004	-3.49822197E+001	-3.56790009E+001	-4.32728386E+001	2.99890404E+001	
1.52530334E+003	-3.49555283E+001	3.19482642E-004	-3.49555283E+001	-3.56745987E+001	-4.31202278E+001	2.99908772E+001	
1.52530823E+003	-3.49372559E+001	3.20829509E-004	-3.49372559E+001	-3.56554985E+001	-4.31065750E+001	2.99891930E+001	
1.52531323E+003	-3.49415627E+001	3.20511666E-004	-3.49415627E+001	-3.56374893E+001	-4.32370911E+001	2.99875317E+001	
1.52531824E+003	-3.49556084E+001	3.19476705E-004	-3.49556084E+001	-3.56750526E+001	-4.31182480E+001	2.99883137E+001	
1.52532312E+003	-3.49835167E+001	3.17430240E-004	-3.49835167E+001	-3.57108078E+001	-4.31028366E+001	2.99887218E+001	
1.52532813E+003	-3.49953728E+001	3.16564925E-004	-3.49953728E+001	-3.56903763E+001	-4.32961998E+001	2.99880867E+001	
1.52533301E+003	-3.49606934E+001	3.19102866E-004	-3.49606934E+001	-3.56698608E+001	-4.31808052E+001	2.99883461E+001	
1.52533801E+003	-3.49525719E+001	3.19700164E-004	-3.49525719E+001	-3.56865463E+001	-4.30354118E+001	2.99895134E+001	
1.52534290E+003	-3.50030098E+001	3.16008634E-004	-3.50030098E+001	-3.57170525E+001	-4.31957588E+001	2.99903812E+001	
1.52534790E+003	-3.50082359E+001	3.15628655E-004	-3.50082359E+001	-3.57191620E+001	-4.32184448E+001	2.99897194E+001	
1.52535278E+003	-3.49576149E+001	3.19328974E-004	-3.49576149E+001	-3.56835022E+001	-4.30846710E+001	2.99883156E+001	
1.52535767E+003	-3.49437256E+001	3.20352119E-004	-3.49437256E+001	-3.56656952E+001	-4.30923691E+001	2.99885654E+001	
1.52536267E+003	-3.49453773E+001	3.20230058E-004	-3.49453773E+001	-3.56656380E+001	-4.31034851E+001	2.99894276E+001	
1.52536768E+003	-3.49168816E+001	3.22338135E-004	-3.49168816E+001	-3.56321411E+001	-4.31028061E+001	2.99890308E+001	
1.52537268E+003	-3.49064102E+001	3.23116401E-004	-3.49064102E+001	-3.56187592E+001	-4.31086349E+001	2.99889832E+001	
1.52537744E+003	-3.49346199E+001	3.21024243E-004	-3.49346199E+001	-3.56639938E+001	-4.30425606E+001	2.99894772E+001	
1.52538245E+003	-3.49620018E+001	3.19006678E-004	-3.49620018E+001	-3.56868858E+001	-4.30945663E+001	2.99887905E+001	
1.52538745E+003	-3.49656181E+001	3.18741280E-004	-3.49656181E+001	-3.56768494E+001	-4.31740990E+001	2.99878597E+001	
1.52539246E+003	-3.49530754E+001	3.19662911E-004	-3.49530754E+001	-3.56855621E+001	-4.30440292E+001	2.99877872E+001	
1.52539734E+003	-3.49474411E+001	3.20078048E-004	-3.49474411E+001	-3.56853180E+001	-4.30091553E+001	2.99880924E+001	
1.52540222E+003	-3.49510269E+001	3.19813786E-004	-3.49510269E+001	-3.56674843E+001	-4.31302795E+001	2.99884472E+001	
1.52540723E+003	-3.49433670E+001	3.20378516E-004	-3.49433670E+001	-3.56661415E+001	-4.30875549E+001	2.99877892E+001	
1.52541223E+003	-3.49332542E+001	3.21125379E-004	-3.49332542E+001	-3.56623840E+001	-4.30425186E+001	2.99864845E+001	
1.52541711E+003	-3.49326248E+001	3.21172032E-004	-3.49326248E+001	-3.56515045E+001	-4.30983734E+001	2.99870377E+001	
1.52542212E+003	-3.49332390E+001	3.21126281E-004	-3.49332390E+001	-3.56611481E+001	-4.30491982E+001	2.99886360E+001	
1.52542700E+003	-3.49384766E+001	3.20739375E-004	-3.49384766E+001	-3.56661301E+001	-4.30558357E+001	2.99883194E+001	
1.52543188E+003	-3.49378929E+001	3.20782507E-004	-3.49378929E+001	-3.56455383E+001	-4.31665955E+001	2.99864769E+001	
1.52543689E+003	-3.49250183E+001	3.21734813E-004	-3.49250183E+001	-3.56361198E+001	-4.31342545E+001	2.99852600E+001	
1.52544189E+003	-3.49330521E+001	3.21140338E-004	-3.49330521E+001	-3.56542168E+001	-4.30861473E+001	2.99855537E+001	
1.52544690E+003	-3.49427185E+001	3.20426218E-004	-3.49427185E+001	-3.56583977E+001	-4.31263046E+001	2.99863873E+001	
1.52545166E+003	-3.49114647E+001	3.22740409E-004	-3.49114647E+001	-3.56287727E+001	-4.30859756E+001	2.99862118E+001	
1.52545667E+003	-3.48991013E+001	3.23660672E-004	-3.48991013E+001	-3.56217995E+001	-4.30437088E+001	2.99861469E+001	
1.52546167E+003	-3.49357681E+001	3.20939347E-004	-3.49357681E+001	-3.56614532E+001	-4.30639458E+001	2.99874496E+001	
1.52546667E+003	-3.49366074E+001	3.20877502E-004	-3.49366074E+001	-3.56644020E+001	-4.30531693E+001	2.99876289E+001	
1.52547156E+003	-3.48989334E+001	3.23673128E-004	-3.48989334E+001	-3.56152763E+001	-4.30788231E+001	2.99861259E+001	
1.52547644E+003	-3.49069176E+001	3.23078741E-004	-3.49069176E+001	-3.56193085E+001	-4.31088982E+001	2.99859562E+001	
1.52548145E+003	-3.49463463E+001	3.20158695E-004	-3.49463463E+001	-3.56713448E+001	-4.30782852E+001	2.99867249E+001	
1.52548645E+003	-3.49474258E+001	3.20079154E-004	-3.49474258E+001	-3.56690369E+001	-4.30980492E+001	2.99865551E+001	
1.52549133E+003	-3.49134750E+001	3.22591368E-004	-3.49134750E+001	-3.56290512E+001	-4.30976257E+001	2.99864864E+001	
1.52549634E+003	-3.48921509E+001	3.24179244E-004	-3.48921509E+001	-3.56140747E+001	-4.30410347E+001	2.99867020E+001	
1.52550122E+003	-3.49020882E+001	3.23438086E-004	-3.49020882E+001	-3.56173286E+001	-4.30881157E+001	2.99864578E+001	
1.52550623E+003	-3.49175110E+001	3.22291424E-004	-3.49175110E+001	-3.56362114E+001	-4.30842934E+001	2.99867897E+001	
1.52551111E+003	-3.49158821E+001	3.22412292E-004	-3.49158821E+001	-3.56548004E+001	-4.29720001E+001	2.99875488E+001	
1.52551611E+003	-3.49110374E+001	3.22772219E-004	-3.49110374E+001	-3.56337662E+001	-4.30555038E+001	2.99874153E+001	
1.52552112E+003	-3.49092484E+001	3.22905253E-004	-3.49092484E+001	-3.56097870E+001	-4.31783447E+001	2.99873829E+001	
1.52552588E+003	-3.49037018E+001	3.23318061E-004	-3.49037018E+001	-3.56224976E+001	-4.30699158E+001	2.99887581E+001	
1.52553088E+003	-3.48992500E+001	3.23649438E-004	-3.48992500E+001	-3.56235390E+001	-4.30351028E+001	2.99901886E+001	
1.52553589E+003	-3.48934631E+001	3.24081018E-004	-3.48934631E+001	-3.55963936E+001	-4.31489258E+001	2.99898376E+001	
1.52554089E+003	-3.48835449E+001	3.24821973E-004	-3.48835449E+001	-3.55849037E+001	-4.31479568E+001	2.99884396E+001	
1.52554578E+003	-3.48880577E+001	3.24484718E-004	-3.48880577E+001	-3.55996361E+001	-4.30946159E+001	2.99878788E+001	
1.52555066E+003	-3.49140778E+001	3.22546432E-004	-3.49140778E+001	-3.56322060E+001	-4.30840225E+001	2.99882069E+001	
1.52555566E+003	-3.49437752E+001	3.20348423E-004	-3.49437752E+001	-3.56658783E+001	-4.30916595E+001	2.99890556E+001	
1.52556067E+003	-3.49524498E+001	3.19709157E-004	-3.49524498E+001	-3.56683311E+001	-4.31348991E+001	2.99903660E+001	
1.52556555E+003	-3.49362106E+001	3.20906867E-004	-3.49362106E+001	-3.56570740E+001	-4.30909729E+001	2.99901447E+001	
1.52557043E+003	-3.49287758E+001	3.21456639E-004	-3.49287758E+001	-3.56630554E+001	-4.30099869E+001	2.99882622E+001	
1.52557544E+003	-3.49353333E+001	3.20971565E-004	-3.49353333E+001	-3.56559563E+001	-4.30914345E+001	2.99884281E+001	
1.52558044E+003	-3.49264488E+001	3.21628759E-004	-3.49264488E+001	-3.56368904E+001	-4.31394119E+001	2.99903278E+001	
1.52558533E+003	-3.49259300E+001	3.21667292E-004	-3.49259300E+001	-3.56511459E+001	-4.30566750E+001	2.99898834E+001	
1.52559033E+003	-3.49488106E+001	3.19977000E-004	-3.49488106E+001	-3.56741257E+001	-4.30790253E+001	2.99878883E+001	
1.52559521E+003	-3.49462090E+001	3.20168969E-004	-3.49462090E+001	-3.56676064E+001	-4.30980148E+001	2.99876308E+001	
1.52560022E+003	-3.49275055E+001	3.21550644E-004	-3.49275055E+001	-3.56602898E+001	-4.30168457E+001	2.99891930E+001	
1.52560510E+003	-3.49293823E+001	3.21411644E-004	-3.49293823E+001	-3.56562233E+001	-4.30512009E+001	2.99902897E+001	
1.52561011E+003	-3.49251633E+001	3.21723986E-004	-3.49251633E+001	-3.56450500E+001	-4.30853424E+001	2.99889164E+001	
1.52561511E+003	-3.49205475E+001	3.22066393E-004	-3.49205475E+001	-3.56559906E+001	-4.29954147E+001	2.99874077E+001	
1.52562000E+003	-3.49269485E+001	3.21591884E-004	-3.49269485E+001	-3.56580276E+001	-4.30255585E+001	2.99892216E+001	
1.52562488E+003	-3.49035530E+001	3.23329034E-004	-3.49035530E+001	-3.56123962E+001	-4.31254921E+001	2.99905834E+001	
1.52562988E+003	-3.48902321E+001	3.24322202E-004	-3.48902321E+001	-3.55998039E+001	-4.31080780E+001	2.99881573E+001	
1.52563489E+003	-3.49231110E+001	3.21876287E-004	-3.49231110E+001	-3.56412430E+001	-4.30930367E+001	2.99864807E+001	
1.52563989E+003	-3.49186020E+001	3.22210661E-004	-3.49186020E+001	-3.56347160E+001	-4.30997543E+001	2.99870205E+001	
1.52564465E+003	-3.48844452E+001	3.24754918E-004	-3.48844452E+001	-3.56037827E+001	-4.30476570E+001	2.99872952E+001	
1.52564966E+003	-3.49058189E+001	3.23160319E-004	-3.49058189E+001	-3.56339989E+001	-4.30202789E+001	2.99884243E+001	
1.52565466E+003	-3.49316330E+001	3.21245170E-004	-3.49316330E+001	-3.56627617E+001	-4.30299835E+001	2.99892750E+001	
1.52565967E+003	-3.49223022E+001	3.21936095E-004	-3.49223022E+001	-3.56471558E+001	-4.30550461E+001	2.99876099E+001	
