Acquired on 7/10/2022 at 17:55:23
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.55402298E+001	2.79239786E-004	-3.55402298E+001	-3.69974861E+001	-4.09909821E+001	3.01714039E+001	
1.52500659E+003	-2.74179192E+001	1.81220763E-003	-2.74179192E+001	-2.82113113E+001	-3.51915474E+001	3.01714039E+001	
1.52501160E+003	-2.65619946E+001	2.20699096E-003	-2.65619946E+001	-2.74346066E+001	-3.39606323E+001	2.99987564E+001	
1.52501648E+003	-2.79607754E+001	1.59927260E-003	-2.79607754E+001	-2.86520996E+001	-3.62828712E+001	2.99715767E+001	
1.52502136E+003	-2.75418301E+001	1.76123402E-003	-2.75418282E+001	-2.83120422E+001	-3.54329872E+001	3.00027390E+001	
1.52502637E+003	-2.70756798E+001	1.96079491E-003	-2.70756798E+001	-2.79228802E+001	-3.45903740E+001	3.00031471E+001	
1.52503137E+003	-2.74476719E+001	1.79983582E-003	-2.74476719E+001	-2.81858940E+001	-3.55075188E+001	2.99744320E+001	
1.52503625E+003	-2.74402523E+001	1.80291338E-003	-2.74402504E+001	-2.81867332E+001	-3.54557991E+001	2.99888000E+001	
1.52504114E+003	-2.72913723E+001	1.86579069E-003	-2.72913723E+001	-2.81219177E+001	-3.48842354E+001	3.00014610E+001	
1.52504614E+003	-2.73482094E+001	1.84153160E-003	-2.73482094E+001	-2.81218185E+001	-3.52218933E+001	2.99791470E+001	
1.52505115E+003	-2.73407898E+001	1.84467994E-003	-2.73407898E+001	-2.80863953E+001	-3.53610077E+001	2.99831371E+001	
1.52505603E+003	-2.74030781E+001	1.81841175E-003	-2.74030781E+001	-2.82054424E+001	-3.51322098E+001	2.99994678E+001	
1.52506104E+003	-2.73686333E+001	1.83289137E-003	-2.73686333E+001	-2.81582241E+001	-3.51612740E+001	2.99867077E+001	
1.52506592E+003	-2.72351093E+001	1.89011847E-003	-2.72351093E+001	-2.79971676E+001	-3.51685333E+001	2.99824257E+001	
1.52507080E+003	-2.73694630E+001	1.83254085E-003	-2.73694630E+001	-2.81553478E+001	-3.51807289E+001	2.99929543E+001	
1.52507581E+003	-2.74144707E+001	1.81364780E-003	-2.74144707E+001	-2.82066746E+001	-3.51940231E+001	2.99888611E+001	
1.52508081E+003	-2.72309952E+001	1.89191068E-003	-2.72309952E+001	-2.80137596E+001	-3.50580292E+001	2.99862862E+001	
1.52508582E+003	-2.73305874E+001	1.84901850E-003	-2.73305874E+001	-2.81146145E+001	-3.51512375E+001	2.99921818E+001	
1.52509058E+003	-2.74282837E+001	1.80788885E-003	-2.74282837E+001	-2.82125931E+001	-3.52475014E+001	2.99899502E+001	
1.52509558E+003	-2.72380924E+001	1.88882113E-003	-2.72380924E+001	-2.80298405E+001	-3.50199280E+001	2.99881554E+001	
1.52510059E+003	-2.72864838E+001	1.86789129E-003	-2.72864838E+001	-2.80753212E+001	-3.50829010E+001	2.99910374E+001	
1.52510547E+003	-2.74511032E+001	1.79841463E-003	-2.74511032E+001	-2.82256126E+001	-3.53201675E+001	2.99903965E+001	
1.52511047E+003	-2.73179150E+001	1.85442134E-003	-2.73179150E+001	-2.81052399E+001	-3.51219444E+001	2.99901485E+001	
1.52511536E+003	-2.72708492E+001	1.87462789E-003	-2.72708492E+001	-2.80606270E+001	-3.50625458E+001	2.99888916E+001	
1.52512036E+003	-2.73809433E+001	1.82770332E-003	-2.73809433E+001	-2.81469650E+001	-3.52937469E+001	2.99872093E+001	
1.52512524E+003	-2.73175907E+001	1.85456057E-003	-2.73175907E+001	-2.80993271E+001	-3.51498375E+001	2.99920845E+001	
1.52513025E+003	-2.72787170E+001	1.87123555E-003	-2.72787170E+001	-2.80819054E+001	-3.50037804E+001	2.99911938E+001	
1.52513513E+003	-2.73606377E+001	1.83626905E-003	-2.73606377E+001	-2.81395054E+001	-3.52074509E+001	2.99838581E+001	
