Acquired on 7/10/2022 at 19:47:32
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.16444225E+001	6.84790604E-004	-3.16444206E+001	-3.23259888E+001	-4.00235023E+001	3.01951141E+001	
1.52500659E+003	-2.68387508E+001	2.07073637E-003	-2.68387508E+001	-2.74674702E+001	-3.55425949E+001	3.01951141E+001	
1.52501160E+003	-2.61243935E+001	2.44095945E-003	-2.61243935E+001	-2.68991432E+001	-3.39922485E+001	2.99984798E+001	
1.52501648E+003	-2.71273212E+001	1.93761697E-003	-2.71273212E+001	-2.76757793E+001	-3.63850708E+001	2.99578648E+001	
1.52502136E+003	-2.69213829E+001	2.03171070E-003	-2.69213829E+001	-2.75324974E+001	-3.57399673E+001	2.99993439E+001	
1.52502637E+003	-2.66265106E+001	2.17444799E-003	-2.66265106E+001	-2.73095226E+001	-3.49971046E+001	3.00001106E+001	
1.52503137E+003	-2.67238064E+001	2.12627463E-003	-2.67238064E+001	-2.73308201E+001	-3.55696297E+001	2.99702721E+001	
1.52503625E+003	-2.67393894E+001	2.11865921E-003	-2.67393894E+001	-2.73476791E+001	-3.55767288E+001	2.99872837E+001	
1.52504114E+003	-2.67743874E+001	2.10165442E-003	-2.67743874E+001	-2.74191284E+001	-3.53767624E+001	2.99977951E+001	
1.52504614E+003	-2.66881905E+001	2.14378396E-003	-2.66881905E+001	-2.73195438E+001	-3.53751602E+001	2.99768772E+001	
1.52505115E+003	-2.66399384E+001	2.16773525E-003	-2.66399384E+001	-2.72660656E+001	-3.53604584E+001	2.99818745E+001	
1.52505603E+003	-2.68357201E+001	2.07218202E-003	-2.68357201E+001	-2.74552650E+001	-3.55989380E+001	2.99943829E+001	
1.52506104E+003	-2.67401142E+001	2.11830507E-003	-2.67401142E+001	-2.73637581E+001	-3.54766846E+001	2.99842644E+001	
