Acquired on 7/10/2022 at 20:00:01
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.44386444E+001	3.59861820E-004	-3.44386444E+001	-4.25092545E+001	-3.51748734E+001	2.98140240E+001	
1.52500659E+003	-2.66924362E+001	2.14168918E-003	-2.66924362E+001	-2.73715496E+001	-3.50859795E+001	2.98140240E+001	
1.52501160E+003	-2.58417282E+001	2.60511739E-003	-2.58417282E+001	-2.65125504E+001	-3.42845802E+001	2.99860039E+001	
1.52501648E+003	-2.73985023E+001	1.82032806E-003	-2.73985023E+001	-2.80138474E+001	-3.61892014E+001	2.99838200E+001	
1.52502136E+003	-2.68949490E+001	2.04411382E-003	-2.68949490E+001	-2.75451050E+001	-3.54636497E+001	2.99954529E+001	
1.52502637E+003	-2.63159351E+001	2.33564340E-003	-2.63159351E+001	-2.70015526E+001	-3.46712532E+001	2.99965992E+001	
1.52503137E+003	-2.68328495E+001	2.07355223E-003	-2.68328495E+001	-2.74512882E+001	-3.56032791E+001	2.99804802E+001	
1.52503625E+003	-2.68422031E+001	2.06909096E-003	-2.68422031E+001	-2.74667778E+001	-3.55727539E+001	2.99909763E+001	
1.52504114E+003	-2.65252762E+001	2.22573010E-003	-2.65252762E+001	-2.72141476E+001	-3.48616142E+001	2.99998150E+001	
1.52504614E+003	-2.66674309E+001	2.15405552E-003	-2.66674309E+001	-2.73099747E+001	-3.52835617E+001	2.99813919E+001	
1.52505115E+003	-2.67441463E+001	2.11633928E-003	-2.67441463E+001	-2.73588524E+001	-3.55390587E+001	2.99845486E+001	
1.52505603E+003	-2.66604385E+001	2.15752749E-003	-2.66604385E+001	-2.73351097E+001	-3.50803223E+001	2.99997425E+001	
1.52506104E+003	-2.66505890E+001	2.16242508E-003	-2.66505890E+001	-2.73130627E+001	-3.51437759E+001	2.99872589E+001	
1.52506592E+003	-2.66405773E+001	2.16741650E-003	-2.66405773E+001	-2.72654228E+001	-3.53693695E+001	2.99824200E+001	
1.52507080E+003	-2.66975822E+001	2.13915273E-003	-2.66975822E+001	-2.73563080E+001	-3.52135849E+001	2.99952412E+001	
1.52507581E+003	-2.66975861E+001	2.13915133E-003	-2.66975861E+001	-2.73629589E+001	-3.51732063E+001	2.99908142E+001	
1.52508081E+003	-2.65906143E+001	2.19249469E-003	-2.65906143E+001	-2.72260780E+001	-3.52514153E+001	2.99840183E+001	
1.52508582E+003	-2.66742134E+001	2.15069437E-003	-2.66742134E+001	-2.73213882E+001	-3.52614059E+001	2.99913044E+001	
1.52509058E+003	-2.67440376E+001	2.11639307E-003	-2.67440376E+001	-2.74033737E+001	-3.52563057E+001	2.99919338E+001	
1.52509558E+003	-2.65921001E+001	2.19174544E-003	-2.65920982E+001	-2.72384071E+001	-3.51846886E+001	2.99882202E+001	
1.52510059E+003	-2.66258163E+001	2.17479444E-003	-2.66258163E+001	-2.72724228E+001	-3.52165680E+001	2.99908447E+001	
1.52510547E+003	-2.67458630E+001	2.11550295E-003	-2.67458630E+001	-2.73967953E+001	-3.53097572E+001	2.99905300E+001	
1.52511047E+003	-2.66100960E+001	2.18268135E-003	-2.66100960E+001	-2.72620049E+001	-3.51679459E+001	2.99879513E+001	
1.52511536E+003	-2.65868950E+001	2.19437294E-003	-2.65868950E+001	-2.72393055E+001	-3.51416588E+001	2.99875603E+001	
1.52512036E+003	-2.67326355E+001	2.12195655E-003	-2.67326355E+001	-2.73761730E+001	-3.53425331E+001	2.99871044E+001	
1.52512524E+003	-2.66622200E+001	2.15664157E-003	-2.66622200E+001	-2.73118210E+001	-3.52343483E+001	2.99890442E+001	
1.52513025E+003	-2.65967541E+001	2.18939735E-003	-2.65967541E+001	-2.72568436E+001	-3.51044350E+001	2.99882164E+001	
1.52513513E+003	-2.67115860E+001	2.13226606E-003	-2.67115860E+001	-2.73575325E+001	-3.53064384E+001	2.99839344E+001	
1.52514014E+003	-2.67085056E+001	2.13377946E-003	-2.67085056E+001	-2.73562927E+001	-3.52918854E+001	2.99875317E+001	
1.52514502E+003	-2.66229286E+001	2.17624102E-003	-2.66229286E+001	-2.72869644E+001	-3.51066628E+001	2.99908886E+001	
1.52515002E+003	-2.66362038E+001	2.16959906E-003	-2.66362038E+001	-2.72832890E+001	-3.52239685E+001	2.99859276E+001	
1.52515503E+003	-2.66722336E+001	2.15167389E-003	-2.66722336E+001	-2.73143024E+001	-3.52913513E+001	2.99874077E+001	
1.52515979E+003	-2.66877975E+001	2.14397721E-003	-2.66877975E+001	-2.73565407E+001	-3.51431351E+001	2.99919834E+001	
1.52516479E+003	-2.66577835E+001	2.15884624E-003	-2.66577816E+001	-2.73188763E+001	-3.51593475E+001	2.99871540E+001	
1.52516980E+003	-2.66202335E+001	2.17759283E-003	-2.66202335E+001	-2.72609997E+001	-3.52475319E+001	2.99857883E+001	
1.52517480E+003	-2.66827221E+001	2.14648410E-003	-2.66827221E+001	-2.73381195E+001	-3.52191048E+001	2.99904060E+001	
1.52517969E+003	-2.66934566E+001	2.14118650E-003	-2.66934566E+001	-2.73565979E+001	-3.51825867E+001	2.99881153E+001	
1.52518457E+003	-2.66061516E+001	2.18466460E-003	-2.66061516E+001	-2.72578583E+001	-3.51652641E+001	2.99855804E+001	
1.52518958E+003	-2.66515636E+001	2.16193963E-003	-2.66515636E+001	-2.73059006E+001	-3.51944656E+001	2.99882317E+001	
1.52519446E+003	-2.67029419E+001	2.13651359E-003	-2.67029419E+001	-2.73613834E+001	-3.52206841E+001	2.99879036E+001	
1.52519946E+003	-2.66016865E+001	2.18691211E-003	-2.66016865E+001	-2.72559071E+001	-3.51452942E+001	2.99863663E+001	
