Acquired on 7/10/2022 at 17:41:59
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.46228104E+001	3.44920409E-004	-3.46228104E+001	-3.52530098E+001	-4.33171692E+001	3.01907063E+001	
1.52500659E+003	-2.76468258E+001	1.71916443E-003	-2.76468258E+001	-2.84507084E+001	-3.53684845E+001	3.01907063E+001	
1.52501160E+003	-2.68170834E+001	2.08109408E-003	-2.68170834E+001	-2.77286644E+001	-3.40447845E+001	2.99951096E+001	
1.52501648E+003	-2.80418892E+001	1.56967936E-003	-2.80418892E+001	-2.87205238E+001	-3.64382820E+001	2.99614983E+001	
1.52502136E+003	-2.77418175E+001	1.68196997E-003	-2.77418175E+001	-2.85061684E+001	-3.56633072E+001	2.99974842E+001	
1.52502637E+003	-2.73757401E+001	1.82989368E-003	-2.73757401E+001	-2.82354469E+001	-3.48328552E+001	2.99978714E+001	
1.52503137E+003	-2.75936241E+001	1.74035365E-003	-2.75936241E+001	-2.83431606E+001	-3.55929260E+001	2.99703598E+001	
1.52503625E+003	-2.76102676E+001	1.73369655E-003	-2.76102676E+001	-2.83666401E+001	-3.55734673E+001	2.99899101E+001	
1.52504114E+003	-2.75734348E+001	1.74846326E-003	-2.75734348E+001	-2.84022121E+001	-3.51747093E+001	3.00014133E+001	
1.52504614E+003	-2.75385551E+001	1.76256266E-003	-2.75385551E+001	-2.83142509E+001	-3.54015503E+001	2.99786606E+001	
1.52505115E+003	-2.75049686E+001	1.77624612E-003	-2.75049686E+001	-2.82638092E+001	-3.54551964E+001	2.99848614E+001	
1.52505603E+003	-2.76416569E+001	1.72121183E-003	-2.76416569E+001	-2.84454842E+001	-3.53635864E+001	2.99996948E+001	
1.52506104E+003	-2.75598221E+001	1.75395282E-003	-2.75598221E+001	-2.83504639E+001	-3.53471985E+001	2.99870358E+001	
1.52506592E+003	-2.74074459E+001	1.81658380E-003	-2.74074459E+001	-2.81808395E+001	-3.52822456E+001	2.99849167E+001	
1.52507080E+003	-2.76107998E+001	1.73348468E-003	-2.76107998E+001	-2.83963375E+001	-3.54238281E+001	2.99952736E+001	
1.52507581E+003	-2.76287346E+001	1.72634143E-003	-2.76287308E+001	-2.84178123E+001	-3.54239349E+001	2.99911022E+001	
1.52508081E+003	-2.73916779E+001	1.82319200E-003	-2.73916779E+001	-2.81853695E+001	-3.51637955E+001	2.99874344E+001	
1.52508582E+003	-2.75247383E+001	1.76817866E-003	-2.75247383E+001	-2.83162689E+001	-3.53076591E+001	2.99913540E+001	
1.52509058E+003	-2.76549911E+001	1.71593553E-003	-2.76549911E+001	-2.84397736E+001	-3.54718170E+001	2.99912510E+001	
1.52509558E+003	-2.74488735E+001	1.79933757E-003	-2.74488735E+001	-2.82473850E+001	-3.51970444E+001	2.99914989E+001	
1.52510059E+003	-2.74814434E+001	1.78589392E-003	-2.74814434E+001	-2.82735996E+001	-3.52612419E+001	2.99914246E+001	
1.52510547E+003	-2.76437283E+001	1.72039098E-003	-2.76437283E+001	-2.84170265E+001	-3.55190125E+001	2.99896069E+001	
1.52511047E+003	-2.75075359E+001	1.77519582E-003	-2.75075378E+001	-2.83025265E+001	-3.52732086E+001	2.99920311E+001	
