Acquired on 7/10/2022 at 22:36:54
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.38387032E+001	4.13170783E-004	-3.38387032E+001	-4.12373886E+001	-3.47113075E+001	2.95693207E+001	
1.52500659E+003	-3.52317772E+001	2.99793581E-004	-3.52317772E+001	-3.59093094E+001	-4.36346817E+001	2.95693207E+001	
1.52501160E+003	-3.40553856E+001	3.93062423E-004	-3.40553856E+001	-3.45837936E+001	-4.34650612E+001	2.99659290E+001	
1.52501648E+003	-3.53921623E+001	2.88924086E-004	-3.53921623E+001	-3.64279022E+001	-4.21250877E+001	3.00495529E+001	
1.52502136E+003	-3.52236862E+001	3.00352753E-004	-3.52236862E+001	-3.60033569E+001	-4.30663986E+001	2.99687500E+001	
1.52502637E+003	-3.49332581E+001	3.21124942E-004	-3.49332581E+001	-3.54949150E+001	-4.40942154E+001	2.99654484E+001	
1.52503137E+003	-3.49199600E+001	3.22109758E-004	-3.49199600E+001	-3.57706451E+001	-4.24185257E+001	3.00198975E+001	
1.52503625E+003	-3.49452934E+001	3.20236228E-004	-3.49452934E+001	-3.57868271E+001	-4.24864120E+001	2.99895592E+001	
1.52504114E+003	-3.51825867E+001	3.03208450E-004	-3.51825867E+001	-3.58071594E+001	-4.39131470E+001	2.99693851E+001	
1.52504614E+003	-3.49337387E+001	3.21089581E-004	-3.49337349E+001	-3.56789474E+001	-4.29560623E+001	3.00015354E+001	
1.52505115E+003	-3.47881279E+001	3.32037656E-004	-3.47881279E+001	-3.56041031E+001	-4.24507980E+001	2.99950829E+001	
1.52505603E+003	-3.52279282E+001	3.00059357E-004	-3.52279282E+001	-3.59330521E+001	-4.34709091E+001	2.99784031E+001	
1.52506104E+003	-3.50638428E+001	3.11613258E-004	-3.50638428E+001	-3.57828636E+001	-4.32288017E+001	2.99900551E+001	
