Acquired on 7/10/2022 at 20:56:42
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.54968987E+001	2.82039488E-004	-3.54968987E+001	-4.22369690E+001	-3.65307159E+001	3.07046680E+001	
1.52500659E+003	-3.50158043E+001	3.15079000E-004	-3.50158043E+001	-3.56402245E+001	-4.37473602E+001	3.07046680E+001	
1.52501160E+003	-3.36046143E+001	4.36052505E-004	-3.36046143E+001	-3.43906288E+001	-4.14152184E+001	2.99887733E+001	
1.52501648E+003	-3.60432777E+001	2.48697877E-004	-3.60432777E+001	-3.68037109E+001	-4.39851761E+001	3.00122375E+001	
1.52502136E+003	-3.52994232E+001	2.95160047E-004	-3.52994232E+001	-3.59730453E+001	-4.37255859E+001	2.99729137E+001	
1.52502637E+003	-3.44966278E+001	3.55088880E-004	-3.44966278E+001	-3.51340981E+001	-4.31447220E+001	2.99739475E+001	
1.52503137E+003	-3.51820984E+001	3.03242618E-004	-3.51820984E+001	-3.59353180E+001	-4.31619034E+001	3.00121841E+001	
1.52503625E+003	-3.51726646E+001	3.03902023E-004	-3.51726646E+001	-3.59116707E+001	-4.32282791E+001	2.99854736E+001	
1.52504114E+003	-3.48712082E+001	3.25745990E-004	-3.48712082E+001	-3.54700432E+001	-4.37719574E+001	2.99666138E+001	
1.52504614E+003	-3.49905930E+001	3.16913502E-004	-3.49905930E+001	-3.56996384E+001	-4.32113991E+001	3.00031548E+001	
1.52505115E+003	-3.50232010E+001	3.14542733E-004	-3.50232010E+001	-3.57954025E+001	-4.29041290E+001	2.99960938E+001	
1.52505603E+003	-3.51198654E+001	3.07619222E-004	-3.51198654E+001	-3.57299805E+001	-4.39450684E+001	2.99713306E+001	
